stops,seed,vehicles,default_seconds,default_cost,default_overload,search1_seconds,search1_cost,search1_overload,search3_seconds,search3_cost,search3_overload,search10_seconds,search10_cost,search10_overload
15,700,3,0.52,144.7261,0.0,1.01,144.7261,0.0,1.87,144.7261,0.0,5.57,144.7261,0.0
15,701,3,0.53,113.9301,0.0,1.01,101.9215,0.0,3.02,101.9215,0.0,4.84,101.9215,0.0
15,702,3,0.52,129.5097,0.0,1.0,120.8216,0.0,3.02,120.8216,0.0,4.45,120.8216,0.0
15,703,3,0.52,99.5205,0.0,1.01,99.5205,0.0,3.07,99.5205,0.0,6.21,99.5205,0.0
15,704,3,1.22,100.4086,0.0,1.02,100.4086,0.0,3.03,100.4086,0.0,7.14,100.4086,0.0
15,705,3,1.98,136.0631,0.0,1.02,123.811,0.0,3.01,123.811,0.0,8.7,123.811,0.0
15,706,3,2.09,113.7942,0.0,1.02,112.8689,0.0,3.05,112.8689,0.0,8.19,112.8689,0.0
15,707,4,2.0,125.2835,0.0,1.02,120.8667,0.0,3.02,120.8667,0.0,8.43,120.8667,0.0
15,708,3,2.08,114.9123,0.0,1.03,111.9292,0.0,3.02,111.9292,0.0,8.73,111.9292,0.0
15,709,3,2.12,82.2124,0.0,1.02,80.3952,0.0,3.05,80.3952,0.0,7.55,80.3952,0.0
15,710,3,2.11,110.36,0.0,1.02,110.36,0.0,3.02,110.36,0.0,5.97,110.36,0.0
15,711,3,2.02,92.5337,0.0,1.02,92.5337,0.0,3.02,92.5337,0.0,6.46,92.5337,0.0
15,712,3,2.04,101.3664,0.0,1.02,88.1094,0.0,3.06,88.1094,0.0,8.61,88.1094,0.0
15,713,3,2.04,99.0965,0.0,1.04,95.7275,0.0,3.02,95.7275,0.0,6.08,95.7275,0.0
15,714,3,2.0,141.8714,0.0,1.01,138.3697,0.0,3.01,138.3697,0.0,7.79,138.3697,0.0
15,715,3,1.89,119.4491,0.0,1.01,115.3367,0.0,3.02,115.3367,0.0,6.77,115.3367,0.0
15,716,3,2.06,120.7592,0.0,1.01,120.7592,0.0,3.02,120.7592,0.0,6.05,120.7592,0.0
15,717,4,1.95,138.1811,0.0,1.02,131.01,0.0,3.03,131.01,0.0,6.06,131.01,0.0
15,718,3,1.94,88.5086,0.0,1.02,88.5086,0.0,3.04,88.5086,0.0,5.76,88.5086,0.0
15,719,3,2.12,96.1199,0.0,1.03,90.5295,0.0,3.02,90.5295,0.0,4.98,90.5295,0.0
30,700,6,0.96,262.9573,0.0,1.01,241.4542,0.0,3.01,241.4542,0.0,8.18,241.4542,0.0
30,701,6,1.02,172.4401,0.0,1.02,157.3745,0.0,3.03,157.3745,0.0,7.92,157.3745,0.0
30,702,6,1.04,230.4098,0.0,1.01,223.7408,0.0,3.01,223.7408,0.0,7.18,223.7408,0.0
30,703,6,1.0,188.0822,0.0,1.02,176.794,0.0,3.02,176.794,0.0,9.26,176.794,0.0
30,704,6,1.04,178.8641,0.0,1.02,169.7173,0.0,3.01,169.7173,0.0,8.01,169.7173,0.0
30,705,6,1.0,196.4323,0.0,1.01,184.3268,0.0,3.03,184.3268,0.0,9.0,184.3268,0.0
30,706,6,1.08,228.7379,0.0,1.02,218.1679,0.0,3.02,217.9102,0.0,10.02,217.9102,0.0
30,707,6,1.12,189.3756,0.0,1.02,182.8315,0.0,3.01,182.8315,0.0,7.67,182.8315,0.0
30,708,5,1.1,167.1664,0.0,1.01,157.2202,0.0,3.01,157.2202,0.0,4.97,157.2202,0.0
