solver,stops,seed,setting,time_min,distance_km,delay_min,overload
default,30,800,fastest,193.3442,102.1276,45.5309,0.0
default,30,800,shortest,245.9156,95.6149,103.9554,0.0
default,30,800,avoid jams,205.7038,110.7531,45.4423,0.0
default,30,800,balanced,189.041,99.9305,43.9603,0.0
default,30,801,fastest,163.7907,84.9578,41.0354,0.0
default,30,801,shortest,183.8898,77.2291,70.6698,0.0
default,30,801,avoid jams,169.0094,86.9571,42.7181,0.0
default,30,801,balanced,165.8555,85.2429,42.5431,0.0
default,30,802,fastest,148.3719,76.869,37.8955,0.0
default,30,802,shortest,163.7256,71.511,59.4381,0.0
default,30,802,avoid jams,162.7427,86.8486,37.7221,0.0
default,30,802,balanced,147.7913,76.8762,37.0718,0.0
default,30,803,fastest,224.828,108.9435,63.9383,0.0
default,30,803,shortest,283.8075,109.8797,120.0474,0.0
default,30,803,avoid jams,232.4765,114.8026,63.5612,0.0
default,30,803,balanced,234.7389,114.5217,65.599,0.0
default,30,804,fastest,152.4615,73.6452,44.8427,0.0
default,30,804,shortest,179.11,68.186,77.4756,0.0
default,30,804,avoid jams,153.3013,75.7772,42.6833,0.0
default,30,804,balanced,152.4615,73.6452,44.8427,0.0
default,30,805,fastest,215.8245,105.0233,60.6413,0.0
default,30,805,shortest,231.4115,90.5447,96.4071,0.0
default,30,805,avoid jams,215.8489,109.268,54.2348,0.0
default,30,805,balanced,215.9043,105.8917,59.5012,0.0
default,30,806,fastest,211.4922,106.134,56.2253,0.0
default,30,806,shortest,256.4459,107.1092,96.9145,0.0
default,30,806,avoid jams,211.7484,108.1371,53.9353,0.0
default,30,806,balanced,214.2906,108.3596,56.2345,0.0
default,30,807,fastest,189.8087,90.4163,56.6901,0.0
default,30,807,shortest,210.0977,82.6555,86.418,0.0
default,30,807,avoid jams,186.2438,94.4991,48.221,0.0
default,30,807,balanced,190.8089,92.8825,54.5684,0.0
default,30,808,fastest,190.3358,88.128,60.2349,0.0
default,30,808,shortest,184.6674,75.9516,71.988,0.0
default,30,808,avoid jams,183.2409,89.0344,51.3309,0.0
default,30,808,balanced,180.3414,84.0421,55.8847,0.0
default,30,809,fastest,188.325,93.3567,51.9311,0.0
default,30,809,shortest,203.7885,81.3957,83.5279,0.0
default,30,809,avoid jams,174.5273,87.4973,46.9213,0.0
default,30,809,balanced,201.2909,97.4369,58.771,0.0
default,30,810,fastest,177.122,88.1519,47.9674,0.0
default,30,810,shortest,216.9513,87.9558,86.2912,0.0
default,30,810,avoid jams,173.2226,90.5866,42.585,0.0
default,30,810,balanced,177.8212,86.8744,50.6706,0.0
default,30,811,fastest,322.0322,157.357,90.6877,0.0
default,30,811,shortest,384.2571,156.4677,150.8861,0.0
default,30,811,avoid jams,334.4249,167.2458,88.3227,0.0
default,30,811,balanced,325.1807,157.6634,92.384,0.0
default,30,812,fastest,192.6941,94.447,55.4277,0.0
default,30,812,shortest,198.3501,82.0459,76.9034,0.0
default,30,812,avoid jams,190.6193,94.8764,51.8384,0.0
default,30,812,balanced,178.5852,87.807,50.5995,0.0
default,30,813,fastest,230.3492,107.1044,72.03,0.0
default,30,813,shortest,254.4046,99.8522,104.9836,0.0
default,30,813,avoid jams,227.2486,111.6189,63.3134,0.0
default,30,813,balanced,224.3887,105.7466,68.0616,0.0
default,30,814,fastest,170.9203,82.9894,50.9187,0.0
default,30,814,shortest,193.5788,76.2003,82.2407,0.0
default,30,814,avoid jams,172.216,89.0407,45.2115,0.0
default,30,814,balanced,174.9138,85.1196,52.2715,0.0
default,30,815,fastest,213.8373,100.6899,66.5897,0.0
default,30,815,shortest,248.4913,95.7225,105.858,0.0
default,30,815,avoid jams,213.6473,103.4266,62.6244,0.0
default,30,815,balanced,213.2735,102.4033,63.5458,0.0
default,30,816,fastest,330.0137,154.1448,102.8518,0.0
default,30,816,shortest,350.3361,137.4316,146.5915,0.0
default,30,816,avoid jams,312.4122,151.0118,89.8356,0.0
default,30,816,balanced,309.5803,147.5104,91.7113,0.0
default,30,817,fastest,213.6953,105.5245,59.4944,0.0
default,30,817,shortest,217.1718,91.3613,81.7055,0.0
default,30,817,avoid jams,223.4429,113.204,58.7261,0.0
default,30,817,balanced,217.3789,108.8322,58.8406,0.0
default,30,818,fastest,146.5875,73.8477,38.5472,0.0
default,30,818,shortest,183.0176,75.2918,71.3596,0.0
default,30,818,avoid jams,167.385,87.2908,40.0651,0.0
default,30,818,balanced,146.5875,73.8477,38.5472,0.0
default,30,819,fastest,188.3447,90.7278,54.9037,0.0
default,30,819,shortest,214.8751,85.8928,86.7805,0.0
default,30,819,avoid jams,189.5667,94.0901,51.6206,0.0
default,30,819,balanced,189.6772,92.9327,53.3795,0.0
default,60,800,fastest,311.9086,161.1907,76.9073,0.0
default,60,800,shortest,379.5074,151.0339,156.3028,0.0
default,60,800,avoid jams,315.3101,169.1468,69.1588,0.0
default,60,800,balanced,335.5472,175.8944,80.6828,0.0
default,60,801,fastest,335.9912,161.9276,99.4964,0.0
default,60,801,shortest,374.7505,152.0516,151.5264,0.0
default,60,801,avoid jams,339.6111,172.0453,88.6862,0.0
default,60,801,balanced,337.2147,163.3744,98.421,0.0
default,60,802,fastest,278.4171,141.8091,70.2217,0.0
default,60,802,shortest,351.1348,138.7339,145.8163,0.0
default,60,802,avoid jams,283.4957,147.6393,67.7914,0.0
default,60,802,balanced,275.5661,138.1039,72.7091,0.0
default,60,803,fastest,391.3313,187.5207,115.5715,0.0
default,60,803,shortest,435.2366,173.112,177.8754,0.0
default,60,803,avoid jams,374.3376,181.3542,107.5,0.0
default,60,803,balanced,389.99,187.9397,113.1252,0.0
default,60,804,fastest,268.6416,133.5301,73.4736,0.0
default,60,804,shortest,306.303,125.4378,120.7506,0.0
default,60,804,avoid jams,269.404,138.7822,66.4375,0.0
default,60,804,balanced,269.6323,133.8402,74.169,0.0
default,60,805,fastest,299.3223,141.9292,90.7551,0.0
default,60,805,shortest,327.1017,130.7027,133.3335,0.0
default,60,805,avoid jams,324.6753,163.5125,85.5986,0.0
default,60,805,balanced,299.4104,142.9708,89.4551,0.0
default,60,806,fastest,410.7355,218.1323,103.0677,0.0
default,60,806,shortest,479.1344,197.3538,188.1788,0.0
default,60,806,avoid jams,405.5654,224.1681,90.8197,0.0
default,60,806,balanced,390.4745,207.0934,98.7097,0.0
default,60,807,fastest,298.1524,140.355,91.2697,0.0
default,60,807,shortest,346.4872,141.2046,136.6216,0.0
default,60,807,avoid jams,314.6505,153.6685,88.5642,0.0
default,60,807,balanced,317.6693,150.947,95.5129,0.0
default,60,808,fastest,306.861,149.6107,86.7998,0.0
default,60,808,shortest,352.787,144.2223,139.8948,0.0
default,60,808,avoid jams,294.2675,147.1231,78.4852,0.0
default,60,808,balanced,290.5861,143.0275,80.634,0.0
default,60,809,fastest,358.8195,169.7488,109.4518,0.0
default,60,809,shortest,383.1734,151.3946,158.427,0.0
default,60,809,avoid jams,356.6761,174.1662,100.5848,0.0
default,60,809,balanced,346.1732,162.1497,107.1626,0.0
default,60,810,fastest,251.2849,120.6696,73.5194,0.0
