instance,customers,k,capacity,fleet,optimal,optimal_routes,app_raw_cost,app_cost,app_seconds,start_cost,ls_cost,ls_seconds,ils_cost_10s,ils_cost_30s,ils_cost_60s,ils_cost_120s,ils_iterations_10s,ils_iterations_30s,ils_iterations_60s,ils_iterations_120s,routes_used
X-n101-k25,100,25,206,34,27591.0,26,40879,30747,12.03,41944,28745,0.1,28123,28059,27997,27898,458,1106,1946,3545,26
X-n106-k14,105,14,600,20,26362.0,14,28365,27679,11.73,28896,27230,0.13,26906,26710,26707,26686,214,574,976,1778,14
X-n110-k13,109,13,66,19,14971.0,13,18792,16929,12.31,19292,17206,0.08,15083,14982,14971,14971,270,698,1271,2347,13
X-n115-k10,114,10,169,15,12747.0,10,18604,15368,12.22,19330,15268,0.13,13210,12936,12930,12885,147,388,703,1333,10
X-n120-k6,119,6,21,10,13332.0,6,15195,14571,12.93,15889,14128,0.24,13769,13651,13511,13463,96,240,425,775,6
X-n125-k30,124,30,188,40,55539.0,30,67481,58592,15.6,68354,60613,0.1,59095,59035,59022,58107,333,925,1670,2946,32
X-n129-k18,128,18,39,25,28940.0,18,35158,32369,11.0,35956,30842,0.13,29595,29405,29274,29262,262,652,1134,2041,18
X-n134-k13,133,13,643,19,10916.0,13,15652,13349,9.54,16526,13330,0.17,11267,11048,11029,11029,151,386,716,1381,14
X-n139-k10,138,10,106,15,13590.0,10,16236,15596,12.84,16845,14789,0.78,13746,13655,13639,13623,113,299,636,1282,11
X-n143-k7,142,7,1190,11,15700.0,7,21208,17503,15.44,22533,16815,1.25,16284,16013,15987,15909,57,141,272,537,7
X-n148-k46,147,46,18,60,43448.0,47,55343,46067,18.94,56663,47018,0.52,44398,44261,44105,44054,328,820,1619,3024,48
X-n153-k22,152,22,144,30,21220.0,23,28418,22908,19.03,30160,22780,0.88,22159,22159,22116,22041,123,318,653,1266,25
X-n157-k13,156,13,12,19,16876.0,13,18079,17687,16.91,18704,17364,0.92,17108,17058,17058,17034,126,329,636,1219,13
X-n162-k11,161,11,1174,16,14138.0,11,17163,15027,16.81,17889,15189,0.79,14560,14277,14188,14174,103,284,548,1084,11
X-n167-k10,166,10,133,15,20557.0,10,24139,22726,18.54,25381,21990,1.36,21548,21243,21232,21120,68,171,337,681,10
X-n172-k51,171,51,161,66,45607.0,53,63742,51144,22.21,64976,53181,0.61,46507,46274,46186,46089,283,703,1438,2848,55
X-n176-k26,175,26,142,35,47812.0,26,64938,51402,19.98,66368,51169,1.13,49694,49340,48680,48630,110,349,757,1452,27
X-n181-k23,180,23,8,31,25569.0,23,27465,26594,16.45,27718,26100,0.64,25802,25755,25754,25689,145,469,1002,1942,23
X-n186-k15,185,15,974,21,24145.0,15,28125,26671,16.52,29253,25456,1.13,25001,24650,24561,24556,69,230,490,926,15
X-n190-k8,189,8,138,12,16980.0,8,19293,18350,17.37,19985,17761,2.48,17551,17410,17337,17307,33,98,206,434,8
X-n195-k51,194,51,181,66,44225.0,53,62321,50908,18.61,65018,47018,0.83,44963,44823,44801,44760,250,784,1656,3222,54
X-n200-k36,199,36,402,47,58578.0,36,67938,62850,17.95,69192,61736,1.0,61294,60367,59920,59879,180,515,1112,2249,37
