instance,cost,vehicles_used,seconds
X-n101-k25,29144.0000,27,60.0
X-n106-k14,27074.0000,14,60.0
X-n110-k13,15395.0000,13,60.0
X-n115-k10,13055.0000,10,60.0
X-n120-k6,13996.0000,6,60.0
X-n125-k30,57168.0000,31,60.0
X-n129-k18,30677.0000,18,60.0
X-n134-k13,11698.0000,14,60.0
X-n139-k10,14583.0000,10,60.0
X-n143-k7,16312.0000,7,60.0
X-n148-k46,45282.0000,47,60.0
X-n153-k22,22416.0000,25,60.0
X-n157-k13,17397.0000,13,60.0
X-n162-k11,14755.0000,11,60.0
X-n167-k10,22452.0000,10,60.0
X-n172-k51,50694.0000,52,60.0
X-n176-k26,50968.0000,27,60.0
X-n181-k23,26218.0000,23,60.0
X-n186-k15,25982.0000,15,60.0
X-n190-k8,17773.0000,8,60.0
X-n195-k51,49995.0000,52,60.0
X-n200-k36,60655.0000,37,60.0
