experiment,stops,seed,vehicles,method,stage,cost,optimum,gap_pct,seconds
A,10,1200,2,qpso,raw,83.0025,83.0025,0.0,0.29
A,10,1200,2,qpso,finished,83.0025,83.0025,0.0,0.29
A,10,1200,2,pso,raw,83.0025,83.0025,0.0,0.26
A,10,1200,2,pso,finished,83.0025,83.0025,0.0,0.26
A,10,1200,2,ga,raw,83.0025,83.0025,0.0,1.47
A,10,1200,2,ga,finished,83.0025,83.0025,0.0,1.47
A,10,1200,2,qpso cold,raw,83.0025,83.0025,0.0,0.3
A,10,1200,2,qpso cold,finished,83.0025,83.0025,0.0,0.3
A,10,1200,2,nearest neighbour,raw,119.9617,83.0025,44.5279,0.0
A,10,1200,2,nearest neighbour,finished,83.0025,83.0025,0.0,0.0
A,10,1200,2,route search 3 s,finished,83.0025,83.0025,0.0,0.82
A,10,1201,2,qpso,raw,76.8685,74.9827,2.515,0.28
A,10,1201,2,qpso,finished,74.9827,74.9827,0.0,0.28
A,10,1201,2,pso,raw,77.8275,74.9827,3.794,0.24
A,10,1201,2,pso,finished,77.8275,74.9827,3.794,0.24
A,10,1201,2,ga,raw,82.918,74.9827,10.5829,1.47
A,10,1201,2,ga,finished,74.9827,74.9827,0.0,1.47
A,10,1201,2,qpso cold,raw,77.8275,74.9827,3.794,0.33
A,10,1201,2,qpso cold,finished,77.8275,74.9827,3.794,0.33
A,10,1201,2,nearest neighbour,raw,100.6626,74.9827,34.2477,0.01
A,10,1201,2,nearest neighbour,finished,74.9827,74.9827,0.0,0.01
A,10,1201,2,route search 3 s,finished,74.9827,74.9827,0.0,0.78
A,10,1202,2,qpso,raw,83.2865,77.7097,7.1764,0.31
A,10,1202,2,qpso,finished,77.7097,77.7097,0.0,0.31
A,10,1202,2,pso,raw,83.7981,77.7097,7.8347,0.24
A,10,1202,2,pso,finished,77.7097,77.7097,0.0,0.24
A,10,1202,2,ga,raw,78.5627,77.7097,1.0976,1.49
A,10,1202,2,ga,finished,77.7993,77.7097,0.1153,1.49
A,10,1202,2,qpso cold,raw,78.4731,77.7097,0.9823,0.34
A,10,1202,2,qpso cold,finished,77.7097,77.7097,0.0,0.34
A,10,1202,2,nearest neighbour,raw,104.0652,77.7097,33.9152,0.01
A,10,1202,2,nearest neighbour,finished,77.7097,77.7097,0.0,0.01
A,10,1202,2,route search 3 s,finished,77.7097,77.7097,0.0,0.83
A,10,1203,2,qpso,raw,71.4429,62.9582,13.4767,0.32
A,10,1203,2,qpso,finished,71.4429,62.9582,13.4767,0.32
A,10,1203,2,pso,raw,73.8826,62.9582,17.3518,0.25
A,10,1203,2,pso,finished,64.2494,62.9582,2.051,0.25
A,10,1203,2,ga,raw,62.9582,62.9582,-0.0,1.56
A,10,1203,2,ga,finished,62.9582,62.9582,-0.0,1.56
A,10,1203,2,qpso cold,raw,71.167,62.9582,13.0385,0.31
A,10,1203,2,qpso cold,finished,71.167,62.9582,13.0385,0.31
A,10,1203,2,nearest neighbour,raw,91.1841,62.9582,44.8327,0.0
A,10,1203,2,nearest neighbour,finished,71.4429,62.9582,13.4767,0.0
A,10,1203,2,route search 3 s,finished,62.9582,62.9582,0.0,0.88
A,10,1204,2,qpso,raw,73.8634,73.8634,0.0,0.28
A,10,1204,2,qpso,finished,73.8634,73.8634,0.0,0.28
A,10,1204,2,pso,raw,74.335,73.8634,0.6384,0.24
A,10,1204,2,pso,finished,73.8634,73.8634,0.0,0.24
A,10,1204,2,ga,raw,74.335,73.8634,0.6384,1.62
A,10,1204,2,ga,finished,73.8634,73.8634,0.0,1.62
A,10,1204,2,qpso cold,raw,74.335,73.8634,0.6384,0.34
A,10,1204,2,qpso cold,finished,73.8634,73.8634,0.0,0.34
A,10,1204,2,nearest neighbour,raw,74.335,73.8634,0.6384,0.0
A,10,1204,2,nearest neighbour,finished,73.8634,73.8634,0.0,0.0
A,10,1204,2,route search 3 s,finished,73.8634,73.8634,0.0,0.89
A,10,1205,2,qpso,raw,61.6519,61.6519,0.0,0.28
A,10,1205,2,qpso,finished,61.6519,61.6519,0.0,0.28
A,10,1205,2,pso,raw,83.0193,61.6519,34.6581,0.24
A,10,1205,2,pso,finished,61.6519,61.6519,0.0,0.24
A,10,1205,2,ga,raw,64.3475,61.6519,4.3721,1.7
A,10,1205,2,ga,finished,61.6519,61.6519,0.0,1.7
A,10,1205,2,qpso cold,raw,71.5688,61.6519,16.0851,0.33
A,10,1205,2,qpso cold,finished,64.2157,61.6519,4.1584,0.33
A,10,1205,2,nearest neighbour,raw,92.9507,61.6519,50.7669,0.0
A,10,1205,2,nearest neighbour,finished,61.6519,61.6519,0.0,0.0
A,10,1205,2,route search 3 s,finished,61.6519,61.6519,0.0,0.85
A,10,1206,2,qpso,raw,79.5191,70.0101,13.5822,0.26
A,10,1206,2,qpso,finished,70.0101,70.0101,0.0,0.26
A,10,1206,2,pso,raw,71.9557,70.0101,2.7789,0.26
A,10,1206,2,pso,finished,70.0101,70.0101,0.0,0.26
A,10,1206,2,ga,raw,79.5191,70.0101,13.5822,1.56
A,10,1206,2,ga,finished,70.0101,70.0101,0.0,1.56
A,10,1206,2,qpso cold,raw,71.9557,70.0101,2.7789,0.28
A,10,1206,2,qpso cold,finished,70.0101,70.0101,0.0,0.28
A,10,1206,2,nearest neighbour,raw,86.8193,70.0101,24.0096,0.01
A,10,1206,2,nearest neighbour,finished,73.8782,70.0101,5.525,0.01
A,10,1206,2,route search 3 s,finished,70.0101,70.0101,0.0,0.76
A,10,1207,2,qpso,raw,93.3982,93.3982,0.0,0.28
A,10,1207,2,qpso,finished,93.3982,93.3982,0.0,0.28
A,10,1207,2,pso,raw,109.3697,93.3982,17.1004,0.33
A,10,1207,2,pso,finished,93.3982,93.3982,0.0,0.33
A,10,1207,2,ga,raw,108.522,93.3982,16.1927,1.5
A,10,1207,2,ga,finished,93.3982,93.3982,0.0,1.5
A,10,1207,2,qpso cold,raw,107.3353,93.3982,14.9221,0.28
A,10,1207,2,qpso cold,finished,107.3353,93.3982,14.9221,0.28
A,10,1207,2,nearest neighbour,raw,120.1716,93.3982,28.6658,0.0
A,10,1207,2,nearest neighbour,finished,93.5673,93.3982,0.181,0.0
A,10,1207,2,route search 3 s,finished,93.3982,93.3982,-0.0,0.91
A,10,1208,2,qpso,raw,87.2287,87.2287,0.0,0.31
A,10,1208,2,qpso,finished,87.2287,87.2287,0.0,0.31
A,10,1208,2,pso,raw,87.2287,87.2287,0.0,0.27
A,10,1208,2,pso,finished,87.2287,87.2287,0.0,0.27
A,10,1208,2,ga,raw,92.0682,87.2287,5.5481,1.56
A,10,1208,2,ga,finished,92.0682,87.2287,5.5481,1.56
A,10,1208,2,qpso cold,raw,101.414,87.2287,16.2622,0.27
A,10,1208,2,qpso cold,finished,101.414,87.2287,16.2622,0.27
A,10,1208,2,nearest neighbour,raw,118.3058,87.2287,35.6271,0.0
