problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
cvrp,100,ga,500,4630.7798,3947.9988,21.98,1
cvrp,100,ga,501,3673.8201,2662.4157,21.81,1
cvrp,100,ga,502,4296.2735,3478.4868,21.81,1
cvrp,100,ga,503,4200.7430,3254.0652,21.68,1
cvrp,100,ga,504,3289.1227,2727.8198,21.95,1
cvrp,100,ga,505,4437.8144,3618.1242,21.77,1
cvrp,100,ga,506,3885.7139,2807.3962,22.00,1
cvrp,100,ga,507,3674.3550,2751.5418,21.81,1
cvrp,100,ga,508,4141.4072,3188.1658,21.82,1
cvrp,100,ga,509,4196.2317,3446.3530,21.71,1
cvrp,100,ga,510,3908.6835,2611.5343,21.74,1
cvrp,100,ga,511,4612.7752,3532.9952,21.67,1
cvrp,100,ga,512,4604.2896,4030.1001,21.63,1
cvrp,100,ga,513,4858.3427,4158.9323,21.74,1
cvrp,100,ga,514,3537.9949,2695.0995,21.73,1
cvrp,100,ga,515,4771.0581,3797.5257,21.84,1
cvrp,100,ga,516,4695.7753,3770.1079,17.68,1
cvrp,100,ga,517,4640.2693,3976.3248,17.47,1
cvrp,100,ga,518,4325.6250,3315.4154,17.51,1
cvrp,100,ga,519,4364.9564,3781.9619,17.49,1
cvrp,100,h_pso,500,4097.7417,3683.8237,14.74,1
cvrp,100,h_pso,501,2809.1833,2492.9758,14.44,1
cvrp,100,h_pso,502,3521.0345,3275.8603,14.33,1
cvrp,100,h_pso,503,3457.1743,3110.8817,14.60,1
cvrp,100,h_pso,504,2938.5785,2542.0773,15.24,1
cvrp,100,h_pso,505,3616.1265,3433.3601,15.44,1
cvrp,100,h_pso,506,2982.8364,2887.0558,15.25,1
cvrp,100,h_pso,507,3105.7532,2638.0853,15.28,1
cvrp,100,h_pso,508,3282.0088,2891.7841,15.07,1
cvrp,100,h_pso,509,3395.3219,3214.4346,15.25,1
cvrp,100,h_pso,510,2629.7069,2544.7349,15.00,1
cvrp,100,h_pso,511,3784.4466,3382.1861,15.12,1
cvrp,100,h_pso,512,3984.5981,3659.9234,14.66,1
cvrp,100,h_pso,513,4460.6973,4270.5193,14.52,1
cvrp,100,h_pso,514,2609.4471,2304.3363,14.72,1
cvrp,100,h_pso,515,3785.4800,3594.5739,14.61,1
cvrp,100,h_pso,516,4046.9419,3581.7612,14.66,1
cvrp,100,h_pso,517,3930.1818,3667.9770,14.65,1
cvrp,100,h_pso,518,3610.2233,3141.1223,14.73,1
cvrp,100,h_pso,519,3918.5999,3339.8983,14.43,1
cvrp,100,h_qpso,500,4068.8041,3747.5473,15.35,1
cvrp,100,h_qpso,501,2809.1833,2492.9758,15.47,1
cvrp,100,h_qpso,502,3554.6026,3312.4061,15.57,1
cvrp,100,h_qpso,503,3562.0108,3177.6294,15.58,1
cvrp,100,h_qpso,504,2935.8687,2667.4686,15.64,1
cvrp,100,h_qpso,505,3616.1265,3433.3601,15.51,1
cvrp,100,h_qpso,506,2982.8364,2887.0558,15.74,1
cvrp,100,h_qpso,507,3105.7532,2638.0853,15.50,1
cvrp,100,h_qpso,508,3187.6117,2978.7718,13.23,1
cvrp,100,h_qpso,509,3395.3219,3214.4346,13.55,1
cvrp,100,h_qpso,510,2629.7069,2544.7349,13.68,1
cvrp,100,h_qpso,511,3784.4466,3382.1861,13.41,1
cvrp,100,h_qpso,512,3984.5981,3659.9234,13.51,1
cvrp,100,h_qpso,513,4464.0309,4110.2090,13.74,1
cvrp,100,h_qpso,514,2609.4471,2304.3363,13.51,1
cvrp,100,h_qpso,515,3785.4800,3594.5739,13.19,1
cvrp,100,h_qpso,516,4179.7740,3426.1683,14.80,1
cvrp,100,h_qpso,517,3949.1666,3765.7996,14.89,1
cvrp,100,h_qpso,518,3377.2248,3191.5379,15.00,1
cvrp,100,h_qpso,519,3875.0007,3316.3381,15.16,1
cvrp,100,nn,500,4135.1100,3683.8237,0.25,1
cvrp,100,nn,501,2937.8972,2492.9758,0.33,1
cvrp,100,nn,502,3642.3890,3312.4061,0.24,1
cvrp,100,nn,503,3668.9029,3177.6294,0.33,1
cvrp,100,nn,504,3057.5752,2542.0773,0.41,1
cvrp,100,nn,505,3741.7787,3433.3601,0.34,1
cvrp,100,nn,506,3076.9023,2887.0558,0.26,1
cvrp,100,nn,507,3239.1084,2638.0853,0.25,1
cvrp,100,nn,508,3454.0919,2969.5085,0.35,1
cvrp,100,nn,509,3531.8859,3214.4346,0.29,1
cvrp,100,nn,510,2727.0700,2544.7349,0.25,1
cvrp,100,nn,511,3924.6255,3382.1861,0.25,1
cvrp,100,nn,512,4059.8527,3659.9234,0.24,1
cvrp,100,nn,513,4562.9489,4206.8035,0.35,1
cvrp,100,nn,514,2718.7613,2304.3363,0.40,1
cvrp,100,nn,515,3831.4371,3594.5739,0.24,1
cvrp,100,nn,516,4383.2101,3620.4111,0.37,1
cvrp,100,nn,517,4178.2444,3742.7857,0.37,1
cvrp,100,nn,518,3694.8886,3141.1223,0.39,1
cvrp,100,nn,519,4114.1203,3476.6343,0.22,1
cvrp,100,pso_warm,500,3907.4953,3671.6576,3.26,1
cvrp,100,pso_warm,501,2751.7710,2518.1800,3.55,1
cvrp,100,pso_warm,502,3526.8477,3260.8768,3.05,1
cvrp,100,pso_warm,503,3526.8038,3200.8461,3.00,1
cvrp,100,pso_warm,504,2884.1529,2462.0032,3.35,1
cvrp,100,pso_warm,505,3607.1851,3253.4500,3.64,1
cvrp,100,pso_warm,506,2940.1673,2862.3009,3.33,1
cvrp,100,pso_warm,507,3008.5979,2743.6548,3.57,1
cvrp,100,pso_warm,508,3173.8351,3026.9957,10.07,1
cvrp,100,pso_warm,509,3373.7983,3129.8650,10.08,1
cvrp,100,pso_warm,510,2628.0113,2593.5485,9.92,1
cvrp,100,pso_warm,511,3777.1246,3186.6929,9.98,1
cvrp,100,pso_warm,512,3904.6071,3813.6108,10.06,1
cvrp,100,pso_warm,513,4371.9156,4122.6466,9.99,1
cvrp,100,pso_warm,514,2599.1554,2290.6816,9.95,1
cvrp,100,pso_warm,515,3771.8048,3539.8056,9.88,1
cvrp,100,pso_warm,516,4087.8250,3641.9183,9.89,1
cvrp,100,pso_warm,517,3943.2203,3641.1977,9.73,1
cvrp,100,pso_warm,518,3414.7913,3197.7530,9.71,1
cvrp,100,pso_warm,519,3931.1580,3471.2587,9.72,1
cvrp,100,qpso_warm,500,4061.6927,3835.7091,9.63,1
cvrp,100,qpso_warm,501,2809.1833,2492.9758,9.43,1
cvrp,100,qpso_warm,502,3553.9070,3311.7105,9.50,1
cvrp,100,qpso_warm,503,3523.3288,3205.6194,9.60,1
cvrp,100,qpso_warm,504,2938.5785,2542.0773,10.22,1
cvrp,100,qpso_warm,505,3609.6963,3426.9299,10.41,1
cvrp,100,qpso_warm,506,2954.2111,2884.2754,10.19,1
cvrp,100,qpso_warm,507,3105.7532,2638.0853,10.21,1
cvrp,100,qpso_warm,508,3186.0074,2968.3586,10.27,1
cvrp,100,qpso_warm,509,3395.3219,3214.4346,10.37,1
cvrp,100,qpso_warm,510,2629.7069,2544.7349,10.40,1
cvrp,100,qpso_warm,511,3784.4466,3382.1861,10.34,1
cvrp,100,qpso_warm,512,3984.5981,3659.9234,10.23,1
cvrp,100,qpso_warm,513,4458.0414,4023.9065,10.19,1
cvrp,100,qpso_warm,514,2609.4471,2304.3363,10.20,1
cvrp,100,qpso_warm,515,3784.4041,3594.5739,10.33,1
cvrp,100,qpso_warm,516,4111.8396,3526.9399,10.20,1
cvrp,100,qpso_warm,517,3897.4750,3739.2992,10.27,1
cvrp,100,qpso_warm,518,3383.3478,3188.9263,10.11,1
cvrp,100,qpso_warm,519,3799.0379,3246.6517,10.31,1
