problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
cvrp,100,ga_warm,500,3878.2356,3702.1040,26.19,1
cvrp,100,ga_warm,501,2739.8821,2497.6160,27.12,1
cvrp,100,ga_warm,502,3349.4228,3099.3013,26.72,1
cvrp,100,ga_warm,503,3441.1238,3068.7719,27.35,1
cvrp,100,ga_warm,504,2770.1608,2566.6018,27.06,1
cvrp,100,ga_warm,505,3482.0135,3402.4532,26.41,1
cvrp,100,ga_warm,506,2938.0348,2889.9550,26.22,1
cvrp,100,ga_warm,507,2874.6740,2564.1573,27.99,1
cvrp,100,ga_warm,508,3063.9929,2890.1185,26.90,1
cvrp,100,ga_warm,509,3293.6979,3121.6722,27.25,1
cvrp,100,ga_warm,510,2618.0329,2586.5603,27.76,1
cvrp,100,ga_warm,511,3517.5884,3190.4597,26.22,1
cvrp,100,ga_warm,512,3819.9862,3480.5492,26.20,1
cvrp,100,ga_warm,513,4144.9233,3959.4349,27.45,1
cvrp,100,ga_warm,514,2435.0086,2266.5606,28.27,1
cvrp,100,ga_warm,515,3748.6936,3624.3172,25.82,1
cvrp,100,ga_warm,516,3937.5168,3452.2839,26.90,1
cvrp,100,ga_warm,517,3886.5193,3630.6190,26.02,1
cvrp,100,ga_warm,518,3347.6529,3176.7647,25.61,1
cvrp,100,ga_warm,519,3597.8423,3233.7364,26.04,1
cvrp,100,h_pso,500,4084.8505,3634.4923,42.62,1
cvrp,100,h_pso,501,2743.7525,2497.6160,148.69,1
cvrp,100,h_pso,502,3459.0784,3204.2272,127.87,1
cvrp,100,h_pso,503,3489.7189,3080.4455,143.29,1
cvrp,100,h_pso,504,2878.3947,2588.8091,154.96,1
cvrp,100,h_pso,505,3616.1265,3433.3601,140.71,1
cvrp,100,h_pso,506,2982.8364,2887.0558,125.78,1
cvrp,100,h_pso,507,3010.8503,2480.0067,156.59,1
cvrp,100,h_pso,508,3144.8181,2901.9281,162.47,1
cvrp,100,h_pso,509,3397.4780,3195.6496,143.00,1
cvrp,100,h_pso,510,2618.0329,2586.5603,156.82,1
cvrp,100,h_pso,511,3674.3648,3344.3380,119.30,1
cvrp,100,h_pso,512,3927.1665,3536.3427,122.19,1
cvrp,100,h_pso,513,4281.8658,4060.4962,116.11,1
cvrp,100,h_pso,514,2609.4471,2304.3363,129.26,1
