pipeline,instance_seed,start_cost,start_seconds,after_local_search,seconds_per_ils_iteration,cost_after_100_ils_iterations,cost_after_200_ils_iterations,cost_after_300_ils_iterations,cost_after_400_ils_iterations,cost_after_500_ils_iterations,cost_after_600_ils_iterations,cost_after_700_ils_iterations,cost_after_800_ils_iterations,cost_after_900_ils_iterations,cost_after_1000_ils_iterations,cost_after_1100_ils_iterations,cost_after_1200_ils_iterations,cost_after_1300_ils_iterations,cost_after_1400_ils_iterations,cost_after_1500_ils_iterations,cost_after_1600_ils_iterations,nn_time_matched_extra_iterations
ga,500,4097.7417,1.04,3704.7324,0.0138,3416.9262,3401.0888,3388.3259,3384.8601,3360.5683,3360.5683,3359.6137,3359.6137,3357.4024,3356.8241,,,,,,,104
ga,501,2753.5296,1.10,2424.0782,0.0130,2340.0184,2338.6384,2334.7682,2334.7682,2334.7682,2334.7682,2334.7682,2334.7682,2334.7682,2334.7682,,,,,,,112
ga,502,3541.2534,1.16,3103.7538,0.0136,2864.9704,2837.8387,2827.7132,2822.0390,2822.0390,2822.0390,2822.0390,2822.0390,2822.0390,2822.0390,,,,,,,103
ga,503,3562.0108,1.18,2996.7323,0.0142,2883.8034,2883.2028,2861.4578,2861.4578,2851.6025,2851.6025,2848.1021,2848.1021,2848.1021,2848.1021,,,,,,,111
ga,504,2897.6246,1.14,2404.2688,0.0126,2302.1101,2299.4065,2299.4065,2299.4065,2299.4065,2298.5432,2298.3431,2298.3431,2298.3431,2298.3431,,,,,,,116
ga,505,3613.3085,1.09,3358.2073,0.0131,3124.2477,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,,,,,,,114
ga,506,2978.3110,1.12,2633.6692,0.0136,2512.4625,2510.5919,2510.5919,2510.5919,2506.9501,2506.9501,2501.9465,2498.0327,2498.0195,2498.0195,,,,,,,114
ga,507,3105.7532,1.08,2591.0543,0.0134,2421.8508,2412.7627,2380.6290,2361.0395,2347.0016,2345.2515,2345.2515,2345.2515,2345.2515,2345.2515,,,,,,,118
ga,508,3317.8706,1.11,2788.8965,0.0132,2689.1632,2669.7318,2640.3880,2633.6739,2632.5755,2632.5755,2632.5755,2632.5755,2607.7785,2605.2698,,,,,,,117
ga,509,3389.9489,1.12,3150.3096,0.0161,2969.4542,2942.1222,2942.1222,2942.1222,2942.1222,2942.1222,2942.1222,2942.1222,2942.1222,2936.5475,,,,,,,97
ga,510,2629.7069,1.10,2611.0697,0.0136,2344.9424,2328.1966,2313.7430,2313.7430,2313.6645,2313.6645,2313.6645,2313.6645,2303.8639,2300.4600,,,,,,,108
ga,511,3784.4466,1.15,3027.8065,0.0139,2914.1044,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,,,,,,,114
ga,512,3984.5981,1.04,3481.6932,0.0158,3311.7656,3311.7656,3303.8792,3303.8792,3303.8792,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,,,,,,,89
ga,513,4449.8604,1.20,3945.6451,0.0166,3665.7447,3648.6401,3648.2623,3648.2623,3647.5400,3647.5400,3647.5400,3641.4570,3624.7904,3624.7904,,,,,,,105
ga,514,2603.2417,1.42,2394.3180,0.0131,2156.3869,2145.1018,2128.8809,2128.8809,2128.8809,2128.8809,2128.8809,2128.8809,2128.8809,2128.8809,,,,,,,146
ga,515,3785.4800,1.35,3435.3116,0.0153,3389.5348,3388.9910,3388.9910,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,,,,,,,110
ga,516,4223.4756,1.23,3324.6147,0.0153,3228.1010,3190.3879,3180.5237,3180.1221,3180.0445,3180.0445,3180.0445,3180.0445,3180.0445,3180.0445,,,,,,,102
ga,517,4001.4954,1.03,3569.9417,0.0149,3372.2581,3372.2581,3343.3170,3343.3170,3343.3170,3339.9282,3339.9282,3339.9282,3335.1864,3335.1864,,,,,,,83
ga,518,3392.3875,1.08,3156.1833,0.0149,2996.2876,2996.2876,2996.2876,2996.2876,2996.2876,2996.2876,2996.2876,2996.2876,2996.2876,2996.2876,,,,,,,77
ga,519,3795.6763,1.05,3081.8649,0.0123,2925.2906,2925.2906,2922.9844,2921.7270,2917.9476,2906.0404,2906.0404,2906.0404,2906.0404,2906.0404,,,,,,,89
nn,500,4135.1100,0.00,3704.7324,0.0099,3416.9262,3401.0888,3388.3259,3384.8601,3360.5683,3360.5683,3359.6137,3359.6137,3357.4024,3356.8241,3356.8241,3356.8241,3350.0972,3349.0721,3349.0721,3349.0721,0
