problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
tsp,100,a_beta,300,4627.6560,1121.7593,5.19,1
tsp,100,a_beta,301,5158.3025,1030.5526,5.29,1
tsp,100,a_beta,302,4461.5438,1171.2904,5.58,1
tsp,100,a_beta,303,4975.6713,1276.2054,5.20,1
tsp,100,a_beta,304,4330.2252,1178.6097,5.49,1
tsp,100,a_beta,305,4712.3758,1318.9223,5.30,1
tsp,100,a_beta,306,5343.8661,1159.3040,5.48,1
tsp,100,a_beta,307,4738.5970,1219.9141,5.25,1
tsp,100,a_beta,308,4062.3455,1365.8372,5.34,1
tsp,100,a_beta,309,4689.5214,1391.8788,5.05,1
tsp,100,a_beta,310,4575.0990,1285.0612,5.04,1
tsp,100,a_beta,311,4589.3786,1224.4065,5.25,1
tsp,100,a_beta,312,4663.9132,1215.4988,5.07,1
tsp,100,a_beta,313,4559.5578,1542.9811,4.89,1
tsp,100,a_beta,314,4234.9726,1185.4704,4.97,1
tsp,100,a_beta,315,4236.2654,1151.3494,5.43,1
tsp,100,a_beta,316,4658.9164,1286.2572,5.14,1
tsp,100,a_beta,317,5097.5855,1267.4506,5.32,1
tsp,100,a_beta,318,4985.2983,1274.4346,5.27,1
tsp,100,a_beta,319,5347.1478,1080.2809,5.03,1
tsp,100,a_elite,300,3876.1743,1196.5883,5.92,1
tsp,100,a_elite,301,3540.4500,1327.7805,5.80,1
tsp,100,a_elite,302,5615.0815,1409.4044,6.47,1
tsp,100,a_elite,303,4146.2953,1226.9015,6.47,1
tsp,100,a_elite,304,3780.1639,1108.7287,6.26,1
tsp,100,a_elite,305,4452.3601,1228.7430,6.30,1
tsp,100,a_elite,306,3368.4350,1263.6077,5.53,1
tsp,100,a_elite,307,5817.7267,1208.8634,6.31,1
tsp,100,a_elite,308,3302.6946,1034.2018,5.87,1
tsp,100,a_elite,309,4414.3784,1302.2081,6.07,1
tsp,100,a_elite,310,3039.1217,1407.6188,5.76,1
tsp,100,a_elite,311,3309.1048,1365.1197,5.30,1
tsp,100,a_elite,312,3654.8421,1655.8678,6.19,1
tsp,100,a_elite,313,3973.4978,1170.7009,5.67,1
tsp,100,a_elite,314,3559.3790,1307.8793,5.49,1
tsp,100,a_elite,315,5795.9020,1181.9585,6.10,1
tsp,100,a_elite,316,3972.1896,1187.2487,5.59,1
tsp,100,a_elite,317,3291.6923,1283.4733,5.32,1
tsp,100,a_elite,318,6000.1504,1233.0656,6.56,1
tsp,100,a_elite,319,5491.0366,1138.6751,6.52,1
tsp,100,a_init,300,1031.3398,1031.3398,6.44,1
tsp,100,a_init,301,1002.9951,1002.9951,6.66,1
tsp,100,a_init,302,1139.6566,1139.6566,6.61,1
tsp,100,a_init,303,1126.4943,1126.4943,6.68,1
tsp,100,a_init,304,1006.9228,1006.9228,6.62,1
tsp,100,a_init,305,1148.4253,1148.4253,6.59,1
tsp,100,a_init,306,999.6912,999.6912,6.62,1
tsp,100,a_init,307,1150.8459,1150.8459,6.90,1
tsp,100,a_init,308,997.7389,997.7389,6.90,1
tsp,100,a_init,309,1174.4089,1174.4089,6.83,1
tsp,100,a_init,310,1051.4110,1051.4110,6.82,1
tsp,100,a_init,311,1093.3261,1093.3261,6.91,1
tsp,100,a_init,312,1196.7169,1196.7169,7.22,1
tsp,100,a_init,313,1125.3342,1125.3342,7.13,1
tsp,100,a_init,314,1113.7753,1113.7753,7.35,1
tsp,100,a_init,315,1016.4215,1016.4215,7.16,1
tsp,100,a_init,316,1076.3401,1076.3401,7.34,1
tsp,100,a_init,317,1015.3087,1015.3087,7.32,1
tsp,100,a_init,318,1064.6356,1064.6356,7.08,1
tsp,100,a_init,319,1048.8301,1048.8301,7.14,1
tsp,100,a_ls,300,964.9195,964.9195,11.38,1
tsp,100,a_ls,301,1012.9701,1012.9701,11.22,1
tsp,100,a_ls,302,1080.3823,1080.3823,11.25,1
tsp,100,a_ls,303,1100.5177,1100.5177,13.25,1
tsp,100,a_ls,304,1078.8652,1078.8652,11.52,1
tsp,100,a_ls,305,1096.1945,1096.1945,12.92,1
tsp,100,a_ls,306,1010.0516,1010.0516,12.73,1
tsp,100,a_ls,307,1151.2677,1151.2677,12.52,1
tsp,100,a_ls,308,922.3198,922.3198,11.71,1
tsp,100,a_ls,309,1120.3946,1120.3946,10.58,1
tsp,100,a_ls,310,1007.9111,1007.9111,11.78,1
tsp,100,a_ls,311,1049.4496,1049.4496,11.77,1
tsp,100,a_ls,312,1047.2919,1047.2919,10.82,1
tsp,100,a_ls,313,1022.7808,1022.7808,12.78,1
tsp,100,a_ls,314,1060.4395,1060.4395,12.50,1
tsp,100,a_ls,315,930.3707,930.3707,10.55,1
tsp,100,a_ls,316,963.0139,963.0139,11.87,1
tsp,100,a_ls,317,1038.2820,1038.2820,12.20,1
tsp,100,a_ls,318,1132.8039,1132.8039,11.74,1
tsp,100,a_ls,319,1064.7761,1064.7761,10.32,1
tsp,100,a_restart,300,941.4300,941.4300,27.36,1
tsp,100,a_restart,301,975.7668,975.7668,28.90,1
tsp,100,a_restart,302,1022.3961,1022.3961,27.98,1
tsp,100,a_restart,303,1031.4276,1031.4276,28.51,1
tsp,100,a_restart,304,1014.9467,1014.9467,26.77,1
tsp,100,a_restart,305,1044.8460,1044.8460,24.90,1
tsp,100,a_restart,306,947.9345,947.9345,29.13,1
tsp,100,a_restart,307,1093.8264,1093.8264,30.95,1
tsp,100,a_restart,308,962.1970,962.1970,27.49,1
tsp,100,a_restart,309,1118.3006,1118.3006,28.63,1
tsp,100,a_restart,310,1003.1731,1003.1731,24.06,1
tsp,100,a_restart,311,1060.2929,1060.2929,30.82,1
tsp,100,a_restart,312,1028.7039,1028.7039,25.12,1
tsp,100,a_restart,313,1020.5964,1020.5964,28.37,1
tsp,100,a_restart,314,1072.2493,1072.2493,28.44,1
tsp,100,a_restart,315,961.2915,961.2915,27.54,1
tsp,100,a_restart,316,992.9886,992.9886,17.88,1
tsp,100,a_restart,317,999.2109,999.2109,17.77,1
tsp,100,a_restart,318,1062.5405,1062.5405,14.46,1
tsp,100,a_restart,319,952.2462,952.2462,13.64,1
tsp,100,d_beta,300,972.3781,972.3781,31.84,1
tsp,100,d_beta,301,995.2794,995.2794,31.12,1
tsp,100,d_beta,302,1017.3586,1017.3586,31.87,1
tsp,100,d_beta,303,1074.1987,1074.1987,31.50,1
tsp,100,d_beta,304,990.8709,990.8709,29.29,1
tsp,100,d_beta,305,1060.9070,1060.9070,30.18,1
tsp,100,d_beta,306,958.3874,958.3874,29.65,1
tsp,100,d_beta,307,1080.7839,1080.7839,29.08,1
tsp,100,d_beta,308,926.7357,926.7357,28.17,1
tsp,100,d_beta,309,1078.7826,1078.7826,27.87,1
tsp,100,d_beta,310,1022.2146,1022.2146,27.84,1
tsp,100,d_beta,311,1042.3914,1042.3914,27.94,1
tsp,100,d_beta,312,1024.8177,1024.8177,25.61,1
tsp,100,d_beta,313,979.7169,979.7169,25.02,1
tsp,100,d_beta,314,1029.9199,1029.9199,25.70,1
tsp,100,d_beta,315,959.8452,959.8452,23.46,1
tsp,100,d_beta,316,965.8950,965.8950,23.16,1
tsp,100,d_beta,317,991.4501,991.4501,22.80,1
tsp,100,d_beta,318,1053.8882,1053.8882,22.29,1
tsp,100,d_beta,319,978.5128,978.5128,22.80,1
tsp,100,d_elite,300,952.2756,952.2756,22.48,1
tsp,100,d_elite,301,961.4440,961.4440,23.40,1
tsp,100,d_elite,302,1040.0254,1040.0254,23.50,1
tsp,100,d_elite,303,1056.0593,1056.0593,23.38,1
tsp,100,d_elite,304,995.4528,995.4528,23.40,1
tsp,100,d_elite,305,1072.0133,1072.0133,23.41,1
tsp,100,d_elite,306,922.7493,922.7493,22.71,1
tsp,100,d_elite,307,1112.6074,1112.6074,22.96,1
tsp,100,d_elite,308,941.8923,941.8923,22.89,1
tsp,100,d_elite,309,1087.6676,1087.6676,22.08,1
tsp,100,d_elite,310,1003.9282,1003.9282,22.90,1
tsp,100,d_elite,311,1052.6520,1052.6520,24.15,1
tsp,100,d_elite,312,1025.1781,1025.1781,21.94,1
tsp,100,d_elite,313,1015.7033,1015.7033,21.33,1
tsp,100,d_elite,314,1036.9063,1036.9063,23.27,1
tsp,100,d_elite,315,969.6858,969.6858,22.98,1
tsp,100,d_elite,316,992.0202,992.0202,23.82,1
tsp,100,d_elite,317,967.8554,967.8554,22.93,1
tsp,100,d_elite,318,1058.8319,1058.8319,22.92,1
tsp,100,d_elite,319,968.7517,968.7517,21.43,1
tsp,100,d_init,300,955.5885,955.5885,14.11,1
tsp,100,d_init,301,971.5499,971.5499,12.91,1
tsp,100,d_init,302,1035.1922,1035.1922,13.21,1
tsp,100,d_init,303,1050.8776,1050.8776,16.90,1
tsp,100,d_init,304,994.0040,994.0040,24.20,1
tsp,100,d_init,305,1078.8143,1078.8143,25.03,1
tsp,100,d_init,306,932.4702,932.4702,26.18,1
tsp,100,d_init,307,1119.6753,1119.6753,27.28,1
tsp,100,d_init,308,948.2490,948.2490,36.08,1
tsp,100,d_init,309,1086.5584,1086.5584,34.82,1
tsp,100,d_init,310,988.9932,988.9932,31.53,1
tsp,100,d_init,311,1034.1733,1034.1733,33.08,1
tsp,100,d_init,312,1016.5788,1016.5788,31.14,1
tsp,100,d_init,313,968.7885,968.7885,30.97,1
tsp,100,d_init,314,1046.0198,1046.0198,31.29,1
tsp,100,d_init,315,941.4035,941.4035,30.48,1
tsp,100,d_init,316,980.3599,980.3599,33.66,1
tsp,100,d_init,317,996.8480,996.8480,31.50,1
tsp,100,d_init,318,1033.5579,1033.5579,31.40,1
tsp,100,d_init,319,957.7741,957.7741,30.18,1
tsp,100,d_ls,300,960.7508,960.7508,20.46,1
tsp,100,d_ls,301,973.2103,973.2103,20.89,1
tsp,100,d_ls,302,1041.0111,1041.0111,20.57,1
tsp,100,d_ls,303,1057.4930,1057.4930,22.31,1
tsp,100,d_ls,304,993.7540,993.7540,20.81,1
tsp,100,d_ls,305,1049.3484,1049.3484,21.67,1
tsp,100,d_ls,306,945.0564,945.0564,22.21,1
tsp,100,d_ls,307,1080.7839,1080.7839,21.16,1
tsp,100,d_ls,308,954.4489,954.4489,21.13,1
tsp,100,d_ls,309,1106.9939,1106.9939,20.77,1
tsp,100,d_ls,310,1009.9980,1009.9980,21.83,1
tsp,100,d_ls,311,1045.4924,1045.4924,22.41,1
tsp,100,d_ls,312,1036.3744,1036.3744,20.42,1
tsp,100,d_ls,313,1017.0057,1017.0057,21.24,1
tsp,100,d_ls,314,1030.6024,1030.6024,22.51,1
tsp,100,d_ls,315,959.8338,959.8338,21.42,1
tsp,100,d_ls,316,970.6423,970.6423,21.65,1
tsp,100,d_ls,317,991.4501,991.4501,21.37,1
tsp,100,d_ls,318,1053.8882,1053.8882,21.40,1
tsp,100,d_ls,319,965.2644,965.2644,21.38,1
tsp,100,d_restart,300,992.4026,992.4026,9.45,1
tsp,100,d_restart,301,1002.9951,1002.9951,9.67,1
tsp,100,d_restart,302,1134.7202,1134.7202,9.58,1
tsp,100,d_restart,303,1104.7961,1104.7961,9.67,1
tsp,100,d_restart,304,1006.9228,1006.9228,9.85,1
tsp,100,d_restart,305,1098.3354,1098.3354,9.65,1
tsp,100,d_restart,306,993.4595,993.4595,9.74,1
tsp,100,d_restart,307,1150.8459,1150.8459,9.47,1
tsp,100,d_restart,308,932.5098,932.5098,9.86,1
tsp,100,d_restart,309,1130.2514,1130.2514,9.64,1
tsp,100,d_restart,310,1047.0489,1047.0489,9.67,1
tsp,100,d_restart,311,1088.9434,1088.9434,9.82,1
tsp,100,d_restart,312,1070.2633,1070.2633,9.81,1
tsp,100,d_restart,313,1018.7163,1018.7163,9.25,1
tsp,100,d_restart,314,1113.7753,1113.7753,9.92,1
tsp,100,d_restart,315,950.9582,950.9582,9.48,1
tsp,100,d_restart,316,1015.0498,1015.0498,9.57,1
tsp,100,d_restart,317,1015.3087,1015.3087,8.79,1
tsp,100,d_restart,318,1064.6356,1064.6356,8.49,1
tsp,100,d_restart,319,993.3830,993.3830,7.76,1
tsp,100,h_qpso,300,941.9267,941.9267,28.43,1
tsp,100,h_qpso,301,978.7565,978.7565,29.15,1
tsp,100,h_qpso,302,1053.0614,1053.0614,28.80,1
tsp,100,h_qpso,303,1070.4116,1070.4116,29.12,1
tsp,100,h_qpso,304,1006.9228,1006.9228,29.40,1
tsp,100,h_qpso,305,1048.8227,1048.8227,28.53,1
tsp,100,h_qpso,306,961.0228,961.0228,28.54,1
tsp,100,h_qpso,307,1114.0797,1114.0797,28.86,1
tsp,100,h_qpso,308,932.5098,932.5098,26.48,1
tsp,100,h_qpso,309,1107.2391,1107.2391,25.24,1
tsp,100,h_qpso,310,1022.2146,1022.2146,26.10,1
tsp,100,h_qpso,311,1019.6322,1019.6322,27.10,1
tsp,100,h_qpso,312,1050.7238,1050.7238,25.43,1
tsp,100,h_qpso,313,1008.7062,1008.7062,23.43,1
tsp,100,h_qpso,314,1014.4219,1014.4219,25.89,1
tsp,100,h_qpso,315,944.2526,944.2526,24.69,1
tsp,100,h_qpso,316,992.6267,992.6267,26.28,1
tsp,100,h_qpso,317,979.0223,979.0223,25.40,1
tsp,100,h_qpso,318,1053.8882,1053.8882,24.76,1
