problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
tsp,200,h_pso,300,1552.8884,1552.8884,96.90,1
tsp,200,h_pso,301,1423.2310,1423.2310,96.96,1
tsp,200,h_pso,302,1476.1038,1476.1038,95.18,1
tsp,200,h_pso,303,1426.4788,1426.4788,91.63,1
tsp,200,h_pso,304,1482.0698,1482.0698,95.26,1
tsp,200,h_pso,305,1446.1274,1446.1274,100.20,1
tsp,200,h_pso,306,1401.0038,1401.0038,56.50,1
tsp,200,h_pso,307,1583.1764,1583.1764,53.62,1
tsp,200,h_pso,308,1467.3891,1467.3891,50.02,1
tsp,200,h_pso,309,1451.7988,1451.7988,51.56,1
tsp,200,h_qpso,300,1540.9137,1540.9137,108.34,1
tsp,200,h_qpso,301,1400.9699,1400.9699,106.69,1
tsp,200,h_qpso,302,1504.1197,1504.1197,110.06,1
tsp,200,h_qpso,303,1508.7261,1508.7261,108.12,1
tsp,200,h_qpso,304,1518.3291,1518.3291,107.79,1
tsp,200,h_qpso,305,1446.1274,1446.1274,112.29,1
tsp,200,h_qpso,306,1384.7001,1384.7001,108.18,1
tsp,200,h_qpso,307,1502.0570,1502.0570,107.14,1
tsp,200,h_qpso,308,1391.5496,1391.5496,94.32,1
tsp,200,h_qpso,309,1432.5179,1432.5179,93.77,1
tsp,200,nn,300,1691.9762,1552.8884,0.90,1
tsp,200,nn,301,1804.7842,1531.8872,0.73,1
tsp,200,nn,302,1813.0461,1648.3329,0.76,1
tsp,200,nn,303,1757.3476,1522.1892,1.74,1
tsp,200,nn,304,1812.1010,1717.8538,0.85,1
tsp,200,nn,305,1744.4296,1446.1274,0.87,1
tsp,200,nn,306,1586.9616,1401.0038,0.86,1
tsp,200,nn,307,1673.8684,1601.2299,0.73,1
tsp,200,nn,308,1727.0636,1485.7172,0.80,1
tsp,200,nn,309,1650.2388,1510.6342,0.57,1
tsp,200,pso,300,12348.0514,2000.5087,8.66,1
tsp,200,pso,301,14578.9748,1756.4875,8.33,1
tsp,200,pso,302,11356.1453,1761.0966,8.30,1
tsp,200,pso,303,12351.7848,1935.9764,8.26,1
tsp,200,pso,304,11821.1057,1997.7934,7.94,1
tsp,200,pso,305,12303.5365,2061.6897,8.21,1
tsp,200,pso,306,12106.4451,2037.0804,8.05,1
tsp,200,pso,307,11809.8616,2433.2214,8.47,1
tsp,200,pso,308,12051.4156,1771.4227,14.36,1
tsp,200,pso,309,12289.4549,1920.2477,14.19,1
tsp,200,qpso,300,10366.8257,2364.1967,14.02,1
tsp,200,qpso,301,11654.5657,1618.9112,12.73,1
tsp,200,qpso,302,10410.4875,2012.3431,13.07,1
tsp,200,qpso,303,10429.2958,2320.9824,12.72,1
tsp,200,qpso,304,10401.9832,2263.8552,13.89,1
tsp,200,qpso,305,10670.1422,1685.3927,12.84,1
tsp,200,qpso,306,9661.6650,1670.4115,9.63,1
tsp,200,qpso,307,9677.1881,1843.0269,8.95,1
tsp,200,qpso,308,9786.2920,1788.1478,10.36,1
tsp,200,qpso,309,9928.8431,1886.9985,9.69,1
