n_stops,instance_seed,algo_seed,algorithm,raw_cost,polished_cost,raw_runtime_sec,iterations_to_match_pso_final
50,300,1,QPSO,1382.9398080383214,834.5058357349387,0.5635111000010511,367
50,300,1,PSO,1979.462128937183,781.4781324434758,0.4711784000028274,
50,300,2,QPSO,1301.4616603018403,722.361885368525,0.5253049999955692,278
50,300,2,PSO,1835.2747871929314,805.8714187996784,0.42437259999860544,
50,300,3,QPSO,1692.7527792272465,853.1945065404371,0.4958709999991697,532
50,300,3,PSO,1916.942888499849,908.335886492247,0.4692300000024261,
50,301,1,QPSO,1257.8455441715514,852.6438863677375,0.5303118999945582,386
50,301,1,PSO,1916.9016853097298,882.9309982891489,0.45602810000127647,
50,301,2,QPSO,1729.6439648541834,880.4350269734541,0.5224464999992051,
50,301,2,PSO,1642.8292218618503,830.5097483877986,0.43867280000267783,
50,301,3,QPSO,1774.3394016479565,843.8069006950849,0.505047900005593,599
50,301,3,PSO,2136.280354704745,804.5571806558046,0.44524140000430634,
50,302,1,QPSO,1314.122579917915,886.6065076213739,0.48198279999633087,418
50,302,1,PSO,1642.1148834965402,994.573835219519,0.47499519999837503,
50,302,2,QPSO,1809.4831440844948,1000.1743783301084,0.5372160000042641,766
50,302,2,PSO,1823.6094273363553,1024.9148255636155,0.4509861999977147,
50,302,3,QPSO,2504.5268000772317,782.5338940206093,0.5340463000029558,
50,302,3,PSO,1428.4170632891162,988.8788690464193,0.4621785999988788,
50,303,1,QPSO,1689.0351483409252,761.9055339986036,0.5244702999989386,493
50,303,1,PSO,2100.5604464664493,808.8400796233179,0.4613709999975981,
50,303,2,QPSO,1600.6288755707387,764.6995475462287,0.5310266999949818,734
50,303,2,PSO,1676.3656825693354,1126.939744121874,0.4297290000031353,
50,303,3,QPSO,1353.6258925021266,750.8297401239496,0.5170276999997441,371
50,303,3,PSO,1864.5276165637515,856.935113416295,0.42866119999962393,
50,304,1,QPSO,1147.9849799847475,782.3050373494328,0.4986637999973027,347
50,304,1,PSO,1956.9986651941776,820.2855469630676,0.46713300000556046,
50,304,2,QPSO,1565.1310497500988,709.3868166498191,0.5004073999953107,495
50,304,2,PSO,2181.22305644272,853.2022687441686,0.4501167999987956,
50,304,3,QPSO,1571.0079745275016,892.8673203851902,0.5058238999990863,473
50,304,3,PSO,1962.44400866689,1051.3912414012693,0.45942330000252696,
50,305,1,QPSO,1668.629771355697,829.3263748612729,0.5045896000010544,582
50,305,1,PSO,1922.6576411369128,1130.9564839191912,0.4707905999966897,
50,305,2,QPSO,1622.6958453021966,859.3715384921264,0.5267572000011569,449
50,305,2,PSO,2278.35097358819,783.9923679406166,0.4617976000008639,
50,305,3,QPSO,1206.3576246683742,892.5966593809113,0.49697170000581536,318
50,305,3,PSO,1820.5875545767067,796.5089773001156,0.4304409999967902,
50,306,1,QPSO,1134.8023417734012,800.8398683387387,0.5081530000024941,204
50,306,1,PSO,2320.710630884713,832.2512619321568,0.4242400999937672,
50,306,2,QPSO,1894.6642183200993,784.4926294751881,0.5065077000035672,544
50,306,2,PSO,2098.866477426866,791.1954723805013,0.45359750000352506,
50,306,3,QPSO,1625.1897185965354,789.1626809673531,0.5123642000035034,431
50,306,3,PSO,2159.500674884571,825.2637862704071,0.43755590000364464,
50,307,1,QPSO,2104.3769148433976,802.5174457130186,0.528899700002512,
50,307,1,PSO,1748.4866679664565,938.8519595147079,0.4311831000013626,
50,307,2,QPSO,1246.0429178940265,1048.2627805774412,0.5161213999963365,321
50,307,2,PSO,2092.036397443185,857.215976616501,0.4638288999994984,
50,307,3,QPSO,1391.010940641858,903.2140723669359,0.5048806999984663,390
50,307,3,PSO,1865.7255854964492,886.8081402735144,0.43961590000253636,
50,308,1,QPSO,1223.989746489738,789.2208374331912,0.4899541000049794,343
50,308,1,PSO,1463.5187236725137,697.5801489274855,0.44192430000111926,
50,308,2,QPSO,1647.7295175863715,759.1797741788961,0.5228865999961272,
50,308,2,PSO,1559.794032898139,737.3470850914141,0.48076070000388427,
50,308,3,QPSO,1290.919195927875,787.4105017015391,0.5211726000052295,424
50,308,3,PSO,1733.6479899817707,755.3960118131308,0.45570150000276044,
50,309,1,QPSO,1352.5051371480545,932.956440990457,0.5034955000010086,453
50,309,1,PSO,1684.680394937756,914.7627610682893,0.48851030000514584,
50,309,2,QPSO,1420.7331521212657,837.0382036604906,0.5267128999985289,362
50,309,2,PSO,1893.3390472060814,920.1475389852995,0.47028619999764487,
50,309,3,QPSO,1393.081715515572,963.6604175719178,0.5130818999969051,420
50,309,3,PSO,1697.5117734323019,888.8183389368947,0.4466355000040494,
50,310,1,QPSO,1584.3987439005407,849.7131826808034,0.5446830000000773,507
50,310,1,PSO,1846.880913284549,782.3108051300915,0.48285549999854993,
50,310,2,QPSO,1524.3574263113123,750.8984707549354,0.5447472999949241,458
50,310,2,PSO,1751.3089293306423,773.3526172806687,0.4511733999970602,
50,310,3,QPSO,1256.516094683141,838.633306160193,0.5335868999973172,503
50,310,3,PSO,2122.2133111494963,803.207009549781,0.47730240000237245,
50,311,1,QPSO,1044.304607589423,749.8804046356807,0.5061850000056438,300
50,311,1,PSO,1701.4755040169243,710.6068776785281,0.4657764000003226,
50,311,2,QPSO,1489.341728511834,737.7034130602472,0.5058702999958768,658
50,311,2,PSO,1683.5706463344466,836.575089520332,0.46337920000223676,
50,311,3,QPSO,1434.633154913961,755.7184748298458,0.5605754000062007,493
50,311,3,PSO,1682.8413035248605,787.7223418296974,0.4623649999994086,
50,312,1,QPSO,1436.1707422070049,801.8161922967879,0.5193148999969708,405
50,312,1,PSO,2093.767658699383,820.5164154852548,0.43231749999540625,
50,312,2,QPSO,1394.3745679633214,759.1975760981708,0.5314193000012892,355
50,312,2,PSO,2138.6399273990937,891.2760353047086,0.44408860000112327,
50,312,3,QPSO,1495.7029885426075,826.3243844455924,0.5699941000057152,409
50,312,3,PSO,2040.3640472623508,898.9714547668464,0.4444006999983685,
50,313,1,QPSO,1631.3951236374562,939.0964556199422,0.5428270999982487,364
50,313,1,PSO,2607.3436005068215,945.0911014814893,0.46926579999853857,
50,313,2,QPSO,1791.642852952844,963.8379639979886,0.5346149999968475,532
50,313,2,PSO,2122.594658246376,947.9889263918102,0.44996529999480117,
50,313,3,QPSO,1719.9521350252792,948.2874136505791,0.5003811999995378,374
50,313,3,PSO,2224.072007290824,965.8685734362372,0.4523860000044806,
50,314,1,QPSO,1584.7456904789808,843.5107891567246,0.50969669999904,680
50,314,1,PSO,1654.5223010969241,743.108739625404,0.43914629999926547,
50,314,2,QPSO,1446.3207261341108,905.349789966614,0.5424264999965089,505
50,314,2,PSO,1686.068824302945,1039.4149493842644,0.451863800000865,
50,314,3,QPSO,1371.9143131799203,1017.3379789664536,0.5160429000025033,415
50,314,3,PSO,1825.0846930447722,1024.9907944980569,0.47904600000038045,
50,315,1,QPSO,1513.1016957358163,791.9108107224907,0.5279116000019712,505
50,315,1,PSO,1620.1241536144344,797.4199023799143,0.466265499999281,
50,315,2,QPSO,1481.587862781747,805.7966195786646,0.5067602999988594,414
50,315,2,PSO,1736.0193488811508,996.3279061848073,0.4450429999997141,
50,315,3,QPSO,2079.777501213926,772.739235156758,0.5677979000029154,
50,315,3,PSO,1843.0381412590043,804.2951067550005,0.48126269999920623,
50,316,1,QPSO,1737.7739741937826,811.8047122737655,0.5501294000059715,
50,316,1,PSO,1659.5952596705727,881.9437827890623,0.45083819999854313,
50,316,2,QPSO,1013.8258830384223,814.712626371898,0.4849869000026956,114
50,316,2,PSO,2099.360045666453,707.5608471079771,0.4317566000027,
50,316,3,QPSO,1704.664932386519,789.791349900106,0.5040273999984493,503
50,316,3,PSO,2023.575977774341,802.8223701569824,0.44553210000594845,
50,317,1,QPSO,1552.367487727434,787.9038075148744,0.5098010000001523,450
50,317,1,PSO,2028.8440373103663,840.4812854667258,0.4507757000028505,
50,317,2,QPSO,1346.3208774009788,938.7899810299075,0.5170509000017773,454
50,317,2,PSO,1597.4389604317628,896.423300183972,0.4470355000012205,
50,317,3,QPSO,1319.4603837845143,830.1960079978439,0.5289248999979463,353
50,317,3,PSO,1638.929619068747,735.2899164276539,0.43776689999504015,
50,318,1,QPSO,1560.3506810045455,815.0230739054499,0.5281185999992886,511
50,318,1,PSO,1952.3845841747232,799.1824507734132,0.45465999999578344,
50,318,2,QPSO,1077.8569606764142,764.8663900299522,0.4984741000007489,304
50,318,2,PSO,1947.846141168596,1121.5038318001134,0.45046159999765223,
50,318,3,QPSO,1894.4918129369237,817.888222378699,0.523420299999998,590
50,318,3,PSO,2064.220496501343,965.1884084505461,0.45128590000240365,
50,319,1,QPSO,1552.8956909077751,779.1683757081234,0.5033899999980349,436
50,319,1,PSO,1781.9723697786885,706.2203918419607,0.44484879999799887,
50,319,2,QPSO,1208.6178069076632,799.7274922674432,0.4917743999976665,355
50,319,2,PSO,1743.4563596888759,807.2058683432259,0.47296230000210926,
50,319,3,QPSO,1156.1839809455557,873.86750772321,0.5082285999960732,325
50,319,3,PSO,1714.1193010230213,772.5586824577524,0.45903269999689655,
50,320,1,QPSO,2163.1269344130833,999.1945826030254,0.5218137999981991,533
50,320,1,PSO,2427.6918983853525,1043.5058641731716,0.4662949999983539,
50,320,2,QPSO,1979.7441635676862,735.0761074536015,0.5121103999990737,
50,320,2,PSO,1976.6513538238867,876.5285648200544,0.4455177999989246,
50,320,3,QPSO,1791.0148677723082,918.3575601729988,0.5179285000049276,538
50,320,3,PSO,3004.309098945515,748.8463794137606,0.45245100000465754,
50,321,1,QPSO,1779.754003885085,716.1430334689126,0.5166682000053697,
50,321,1,PSO,1709.4506383524126,637.8376885812484,0.46936489999643527,
50,321,2,QPSO,1722.0919467268507,745.1455219133422,0.5315092999953777,770
50,321,2,PSO,1756.695802670455,762.0718464769269,0.43238060000294354,
50,321,3,QPSO,1391.7455067571125,787.0615860186621,0.5033122000022558,371
50,321,3,PSO,1931.9852230955637,765.7050153424894,0.4529871999984607,
50,322,1,QPSO,1710.6089892805653,894.0630218490166,0.5100765000024694,473
50,322,1,PSO,2346.9379022684134,886.7131344057932,0.44511429999693064,
50,322,2,QPSO,1272.6696578256824,919.608542832301,0.5742037999953027,211
50,322,2,PSO,2284.3333149530486,858.793039229199,0.5312935999972979,
50,322,3,QPSO,1816.5176806023424,899.1506178531132,0.5681785000051605,436
50,322,3,PSO,2286.171526228242,827.2532548307512,0.43643339999835007,
50,323,1,QPSO,1754.0339610664992,1001.2752302425224,0.5733445000005304,645
50,323,1,PSO,2048.298433260844,797.2819617635371,0.5173719999947934,
50,323,2,QPSO,2502.2395766236477,725.5821258867386,0.594565400002466,
50,323,2,PSO,1618.6082121808145,718.5410528865664,0.4558162999965134,
50,323,3,QPSO,1361.3250574585852,859.4670872335417,0.4964812000034726,321
50,323,3,PSO,2136.552721098381,928.2093658777208,0.43735469999955967,
50,324,1,QPSO,1945.2896186254766,801.2143040104027,0.5265757000015583,
50,324,1,PSO,1856.7114277665237,978.7389013010744,0.4399427999960608,
50,324,2,QPSO,1566.245271119738,739.68304221266,0.5063561999995727,520
50,324,2,PSO,1924.1093835743768,801.3974346626941,0.42869100000098115,
50,324,3,QPSO,1365.037550724314,922.6854833069573,0.506208400001924,389
50,324,3,PSO,1683.1353296494794,799.7957941427153,0.4522667999990517,
50,325,1,QPSO,1341.8223847125507,850.4963971103881,0.5010744000028353,315
50,325,1,PSO,2284.6485265722504,989.4416074931049,0.4514931000012439,
50,325,2,QPSO,1863.1053162236844,855.0508822178379,0.5219463999965228,671
50,325,2,PSO,1993.25091253635,812.2226427791336,0.44744730000093114,
50,325,3,QPSO,1618.1874415901925,854.4598032535656,0.5134461999987252,376
50,325,3,PSO,2214.0092488610476,997.0518472020545,0.42837329999747453,
50,326,1,QPSO,1080.503886976718,673.2498931453241,0.5161459000009927,256
50,326,1,PSO,1702.1228461947785,802.7804582590661,0.42568419999588514,
50,326,2,QPSO,1288.2161108396804,817.637769912433,0.5286446000027354,513
50,326,2,PSO,1479.42643612968,757.7733982599349,0.4603244000027189,
50,326,3,QPSO,1188.712911872023,882.0336632036359,0.5253640000009909,385
50,326,3,PSO,1828.6500782128717,804.4672010756724,0.47838100000080885,
50,327,1,QPSO,1833.3586403068728,849.9897735741853,0.5663101999962237,449
50,327,1,PSO,2233.1710798976465,825.2162473493627,0.6192515000002459,
50,327,2,QPSO,1284.1719595742632,927.4497064466032,0.6854651999965427,386
50,327,2,PSO,1883.218607054842,795.4091541987934,0.6142831999968621,
50,327,3,QPSO,2230.389592799039,816.145216103946,0.7000809999954072,
50,327,3,PSO,2027.6157345630315,807.4276353535975,0.5687794000041322,
50,328,1,QPSO,2161.2518125543297,839.4752488389815,0.6556110999954399,
50,328,1,PSO,2100.718306529038,941.8993993677365,0.602512100005697,
50,328,2,QPSO,1272.0969629973997,884.2064646936054,0.6228414999932284,386
50,328,2,PSO,1874.452887270459,994.5423102044908,0.5510518000010052,
50,328,3,QPSO,1677.275119961708,925.896068134037,0.7614403999978094,580
50,328,3,PSO,1941.7052528940746,829.2600005370151,0.6133797000002232,
50,329,1,QPSO,1483.9234758038015,785.5651333307056,0.6715715999962413,436
50,329,1,PSO,1748.5508234053982,878.0023287011327,0.5651971000042977,
50,329,2,QPSO,1133.4071245681112,924.7605463731159,0.6745284999997239,265
50,329,2,PSO,1972.522174960474,781.4197876178887,0.48843910000141477,
50,329,3,QPSO,1507.4338059609793,739.4232203169146,0.6860166000042227,
50,329,3,PSO,1455.8710713369362,834.907346163117,0.5069248999934644,
