n_stops,instance_seed,algo_seed,algorithm,raw_cost,polished_cost,raw_runtime_sec,iterations_to_match_pso_final
50,300,1,QPSO,1382.9398080383214,834.5058357349387,0.5730168000009144,391
50,300,1,PSO,1704.4562780537747,839.786693483516,0.488037399998575,
50,301,1,QPSO,1257.8455441715514,852.6438863677375,0.5882408999968902,477
50,301,1,PSO,1706.7762967896567,909.8971824868466,0.48064509999676375,
50,302,1,QPSO,1314.122579917915,886.6065076213739,0.5959246999991592,415
50,302,1,PSO,1696.851397496582,1115.9769401157942,0.47056480000173906,
50,303,1,QPSO,1689.0351483409252,761.9055339986036,0.5883343999958015,593
50,303,1,PSO,1763.8609543463597,858.0240536333228,0.4783129999996163,
50,304,1,QPSO,1147.9849799847475,782.3050373494328,0.5725844999979017,347
50,304,1,PSO,1999.2372493500843,868.3033361603673,2.4284484000017983,
50,305,1,QPSO,1668.629771355697,829.3263748612729,0.6117745000010473,555
50,305,1,PSO,2050.695113371796,791.4872510686776,0.5041756000064197,
50,306,1,QPSO,1134.8023417734012,800.8398683387387,0.5462984000041615,257
50,306,1,PSO,1989.5679214683491,865.9317782089424,0.45952869999746326,
50,307,1,QPSO,2104.3769148433976,802.5174457130186,0.5773216000015964,794
50,307,1,PSO,2110.3398159963945,889.8797232490507,0.5234067999990657,
50,308,1,QPSO,1223.989746489738,789.2208374331912,0.5696161000014399,336
50,308,1,PSO,1505.4241320924223,940.6979686130585,0.4835869999951683,
50,309,1,QPSO,1352.5051371480545,932.956440990457,0.5627916000012192,460
50,309,1,PSO,1594.2154591570506,882.1282828843948,0.524596900002507,
50,310,1,QPSO,1584.3987439005407,849.7131826808034,0.6025685999993584,506
50,310,1,PSO,1928.4746487784776,858.9487987512957,0.45341629999893485,
50,311,1,QPSO,1044.304607589423,749.8804046356807,0.5771936000019195,178
50,311,1,PSO,2113.5294132501567,812.4459485042776,0.47602090000145836,
50,312,1,QPSO,1436.1707422070049,801.8161922967879,0.6734867999984999,428
50,312,1,PSO,1998.1131559605915,895.3605152724941,0.46523500000330387,
50,313,1,QPSO,1631.3951236374562,939.0964556199422,0.5522822999992059,429
50,313,1,PSO,2192.5011707278804,965.1599088750318,0.4772672999970382,
50,314,1,QPSO,1584.7456904789808,843.5107891567246,0.5899872999943909,707
50,314,1,PSO,1600.1331742304599,748.4616989308115,0.4689194000020507,
50,315,1,QPSO,1513.1016957358163,791.9108107224907,0.5809282999980496,468
50,315,1,PSO,1868.5401618777355,807.4380298537212,0.47908779999852413,
50,316,1,QPSO,1737.7739741937826,811.8047122737655,0.5813779000018258,554
50,316,1,PSO,2021.529632104462,819.8565222034484,0.48998980000033043,
50,317,1,QPSO,1552.367487727434,787.9038075148744,0.58676170000399,474
50,317,1,PSO,1924.7095334503856,932.1274703427691,0.4612200999981724,
50,318,1,QPSO,1560.3506810045455,815.0230739054499,0.5921821000010823,473
50,318,1,PSO,1996.6201703354911,1020.4598442017142,0.4871855000019423,
50,319,1,QPSO,1552.8956909077751,779.1683757081234,0.5834133999960613,433
50,319,1,PSO,1843.5944082214758,748.504439882684,0.4590704000002006,
50,320,1,QPSO,2163.1269344130833,999.1945826030254,0.5836869999984629,
50,320,1,PSO,1967.348666767485,1022.010704824594,0.5274527000001399,
50,321,1,QPSO,1779.754003885085,716.1430334689126,0.5642761999988579,799
50,321,1,PSO,1793.6488400612304,719.3371791873122,0.482648799996241,
50,322,1,QPSO,1710.6089892805653,894.0630218490166,0.5333989999999176,483
50,322,1,PSO,2233.9347140105847,800.9414861910043,0.4969256000040332,
50,323,1,QPSO,1754.0339610664992,1001.2752302425224,0.6123175000029732,645
50,323,1,PSO,2038.6067175439828,710.8042245973649,0.4898719999982859,
50,324,1,QPSO,1945.2896186254766,801.2143040104027,0.5848587000000407,721
50,324,1,PSO,1986.2794809814714,853.7597527896535,0.45496470000216505,
50,325,1,QPSO,1341.8223847125507,850.4963971103881,0.5290476000009221,329
50,325,1,PSO,2004.8248028639812,847.3970249349421,0.4856160000053933,
50,326,1,QPSO,1080.503886976718,673.2498931453241,0.5413437999959569,340
50,326,1,PSO,1423.7221854801637,798.2285040313003,0.5049652999950922,
50,327,1,QPSO,1833.3586403068728,849.9897735741853,0.5888650999986567,449
50,327,1,PSO,2207.970728649965,824.7218392492721,0.5433823999992455,
50,328,1,QPSO,2161.2518125543297,839.4752488389815,0.5600473000013153,
50,328,1,PSO,1942.5239939736255,841.363704388662,0.45514349999575643,
50,329,1,QPSO,1483.9234758038015,785.5651333307056,0.4983689000000595,483
50,329,1,PSO,1590.1262964508705,885.8709122392403,0.44996140000148444,
