stops,seed,solver,open_cost,closed_cost,other_seed_cost,change_pct,noise_pct,closed_roads_used
15,900,default,102.5816,109.1239,106.4014,6.378,3.724,49
15,900,search,102.2352,105.8021,102.2352,3.489,0.0,51
15,901,default,95.9277,98.9908,95.9277,3.193,0.0,47
15,901,search,95.2365,96.5201,95.2365,1.348,0.0,45
15,902,default,108.7751,112.3282,99.2214,3.266,8.783,55
15,902,search,99.0864,101.6742,99.0864,2.612,0.0,50
15,903,default,101.1093,104.7327,101.1093,3.584,0.0,49
15,903,search,99.1719,100.1926,99.1719,1.029,0.0,49
15,904,default,113.4032,111.8675,106.1613,-1.354,6.386,50
15,904,search,106.1613,106.8003,106.1613,0.602,0.0,47
15,905,default,119.4858,119.5699,116.6058,0.07,2.41,53
15,905,search,114.4371,114.5821,114.4371,0.127,0.0,52
15,906,default,128.1381,128.9856,129.8497,0.661,1.336,51
15,906,search,128.1381,128.7388,128.1381,0.469,0.0,51
15,907,default,142.434,144.0911,142.1412,1.163,0.206,56
15,907,search,141.959,142.7325,141.959,0.545,0.0,55
15,908,default,105.3936,105.4188,116.6009,0.024,10.634,54
15,908,search,105.3936,105.9651,105.3936,0.542,0.0,54
15,909,default,87.8145,97.3088,97.4151,10.812,10.933,52
15,909,search,87.8145,88.1951,87.8145,0.433,0.0,52
15,910,default,99.2483,110.2065,99.2483,11.041,0.0,51
15,910,search,99.2483,100.6879,99.2483,1.451,0.0,51
15,911,default,103.7769,104.3163,102.9574,0.52,0.79,46
15,911,search,95.0335,95.3206,95.0335,0.302,0.0,48
15,912,default,85.9169,92.1608,85.9169,7.267,0.0,43
15,912,search,84.855,85.7884,84.855,1.1,0.0,45
15,913,default,99.3138,99.3246,99.3138,0.011,0.0,49
15,913,search,99.3138,100.2864,99.3138,0.979,0.0,49
15,914,default,125.4452,126.2644,131.6888,0.653,4.977,52
15,914,search,125.4452,125.4721,125.4452,0.021,0.0,52
15,915,default,96.8807,98.4099,96.8807,1.578,0.0,43
15,915,search,96.8807,97.1829,96.8807,0.312,0.0,43
15,916,default,95.1067,96.5337,95.1067,1.5,0.0,52
15,916,search,95.1067,95.5492,95.1067,0.465,0.0,52
15,917,default,107.8709,109.2235,107.8709,1.254,0.0,50
15,917,search,101.6488,101.9713,101.6488,0.317,0.0,55
15,918,default,102.588,103.1444,102.5386,0.542,0.048,52
15,918,search,97.128,98.4961,97.128,1.409,0.0,45
15,919,default,127.9639,128.7604,116.6464,0.622,8.844,50
15,919,search,116.6464,117.5411,116.6464,0.767,0.0,54
30,900,default,166.4768,153.0613,162.2886,-8.058,2.516,68
30,900,search,152.8361,153.7674,152.8361,0.609,0.0,65
30,901,default,159.244,160.0389,158.9067,0.499,0.212,69
30,901,search,145.534,145.617,149.7089,0.057,2.869,68
30,902,default,171.6874,170.2492,171.2188,-0.838,0.273,67
30,902,search,151.7013,151.8239,151.7013,0.081,0.0,63
30,903,default,174.1088,178.1181,174.1088,2.303,0.0,73
30,903,search,158.8718,159.0103,158.8718,0.087,0.0,70
30,904,default,173.4188,175.8034,167.5089,1.375,3.408,71
30,904,search,165.2704,165.9024,165.2704,0.382,0.0,74
30,905,default,212.9748,208.7199,212.9748,-1.998,0.0,76
30,905,search,196.6463,214.6532,196.6463,9.157,0.0,74
30,906,default,194.6474,215.5903,198.8529,10.759,2.161,68
30,906,search,189.4689,190.2143,189.4689,0.393,0.0,68
30,907,default,190.0595,190.0955,188.5832,0.019,0.777,72
30,907,search,185.7532,186.3804,185.7532,0.338,0.0,71
30,908,default,186.776,187.6798,187.9106,0.484,0.607,75
30,908,search,173.2254,181.0833,173.2254,4.536,0.0,72
30,909,default,151.7226,150.6991,152.5173,-0.675,0.524,74
30,909,search,148.9201,148.4964,148.1851,-0.285,0.494,73
30,910,default,163.8604,173.385,163.8604,5.813,0.0,64
30,910,search,155.68,157.1512,156.8285,0.945,0.738,61
30,911,default,154.5611,158.7225,154.5611,2.692,0.0,68
30,911,search,154.1023,154.6418,153.4939,0.35,0.395,67
30,912,default,156.4887,154.5892,148.8047,-1.214,4.91,67
30,912,search,140.289,141.1672,140.289,0.626,0.0,59
30,913,default,218.5133,223.0065,221.463,2.056,1.35,78
30,913,search,201.072,203.5399,201.0236,1.227,0.024,74
30,914,default,228.309,228.2959,221.913,-0.006,2.801,83
30,914,search,215.4796,216.0967,216.3722,0.286,0.414,79
30,915,default,183.2911,183.6175,188.764,0.178,2.986,68
30,915,search,161.2071,161.2812,161.2071,0.046,0.0,64
30,916,default,178.4675,190.1424,175.9058,6.542,1.435,71
30,916,search,162.3473,163.1842,162.3473,0.516,0.0,65
30,917,default,174.139,174.6665,174.139,0.303,0.0,72
30,917,search,172.5358,173.9827,172.5358,0.839,0.0,69
30,918,default,177.5282,180.3173,171.0454,1.571,3.652,61
30,918,search,164.5233,165.0339,164.5233,0.31,0.0,55
30,919,default,199.2631,199.6414,204.489,0.19,2.623,75
30,919,search,179.369,179.4705,179.369,0.057,0.0,67
