customers,utilization,variant,instance_seed,raw_cost,cost_2opt_only,cost_full_polish,seconds,feasible
100,0.85,ga,500,4630.7798,4598.0661,3947.9988,20.39,1
100,0.85,ga,501,3673.8201,3600.6246,2662.4157,20.35,1
100,0.85,ga,502,4296.2735,4222.4058,3478.4868,20.26,1
100,0.85,ga,503,4200.7430,4061.9559,3254.0652,20.36,1
100,0.85,ga,504,3289.1227,3049.7075,2727.8198,20.38,1
100,0.85,ga,505,4437.8144,4263.1211,3618.1242,20.36,1
100,0.85,ga,506,3885.7139,3773.2917,2807.3962,20.30,1
100,0.85,ga,507,3674.3550,3568.0149,2751.5418,20.36,1
100,0.85,ga,508,4141.4072,3944.1709,3188.1658,20.41,1
100,0.85,ga,509,4196.2317,4047.1055,3446.3530,20.34,1
100,0.85,ga,510,3908.6835,3756.1724,2611.5343,20.60,1
100,0.85,ga,511,4612.7752,4381.4875,3532.9952,20.61,1
100,0.85,ga,512,4604.2896,4514.4535,4030.1001,20.58,1
100,0.85,ga,513,4858.3427,4753.7015,4158.9323,20.58,1
100,0.85,ga,514,3537.9949,3454.2720,2695.0995,20.61,1
100,0.85,ga,515,4771.0581,4563.2224,3797.5257,20.59,1
100,0.85,ga,516,4695.7753,4556.6933,3770.1079,20.64,1
100,0.85,ga,517,4640.2693,4430.0735,3976.3248,20.71,1
100,0.85,ga,518,4325.6250,4062.4853,3315.4154,20.47,1
100,0.85,ga,519,4364.9564,4290.7811,3781.9619,20.39,1
100,0.85,ga_warm,500,4057.9323,4053.4022,3681.0995,20.08,1
100,0.85,ga_warm,501,2749.6200,2735.2419,2492.9758,20.01,1
100,0.85,ga_warm,502,3538.1983,3532.8105,3340.9370,20.15,1
100,0.85,ga_warm,503,3482.2706,3472.4708,3063.8811,20.15,1
100,0.85,ga_warm,504,2861.8512,2846.2561,2564.2875,20.13,1
100,0.85,ga_warm,505,3541.3912,3523.7597,3420.2630,20.12,1
100,0.85,ga_warm,506,2945.4543,2923.8802,2832.7121,20.18,1
100,0.85,ga_warm,507,3054.7319,3034.9533,2637.0558,20.12,1
100,0.85,ga_warm,508,3221.1499,3206.9516,2960.3405,20.01,1
100,0.85,ga_warm,509,3345.3239,3342.9802,3173.5480,19.83,1
100,0.85,ga_warm,510,2628.9077,2628.9077,2543.9357,19.92,1
100,0.85,ga_warm,511,3782.2851,3782.2851,3281.4245,19.89,1
100,0.85,ga_warm,512,3872.1675,3872.1675,3670.5515,19.97,1
100,0.85,ga_warm,513,4219.7436,4147.1836,3904.3521,20.04,1
100,0.85,ga_warm,514,2510.6112,2481.9524,2297.9047,19.97,1
100,0.85,ga_warm,515,3769.0219,3769.0219,3595.6090,20.11,1
100,0.85,ga_warm,516,4080.3413,4078.0625,3426.2357,19.93,1
100,0.85,ga_warm,517,3929.9310,3924.7701,3713.3039,19.95,1
100,0.85,ga_warm,518,3349.4179,3342.5358,3178.5297,19.97,1
100,0.85,ga_warm,519,3723.7918,3701.4881,3173.6691,20.07,1
100,0.85,nn,500,4135.1100,4097.7417,3683.8237,0.23,1
100,0.85,nn,501,2937.8972,2809.1833,2492.9758,0.23,1
100,0.85,nn,502,3642.3890,3554.6026,3312.4061,0.22,1
100,0.85,nn,503,3668.9029,3562.0108,3177.6294,0.34,1
100,0.85,nn,504,3057.5752,2938.5785,2542.0773,0.26,1
100,0.85,nn,505,3741.7787,3616.1265,3433.3601,0.22,1
100,0.85,nn,506,3076.9023,2982.8364,2887.0558,0.23,1
100,0.85,nn,507,3239.1084,3105.7532,2638.0853,0.21,1
100,0.85,nn,508,3454.0919,3320.2029,2969.5085,0.22,1
100,0.85,nn,509,3531.8859,3395.3219,3214.4346,0.22,1
100,0.85,nn,510,2727.0700,2629.7069,2544.7349,0.22,1
100,0.85,nn,511,3924.6255,3784.4466,3382.1861,0.22,1
