stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
15,900,qpso,aware,146.5973,0.0,0,64.6233,146.5973
15,900,qpso,ignoring,102.5816,98.7002,4,110.0958,1089.5833
15,900,pso,aware,147.4835,0.0,0,46.7706,147.4835
15,900,pso,ignoring,106.4014,110.4692,4,139.6017,1211.0929
15,900,ga,aware,143.9549,0.0,0,64.3636,143.9549
15,900,ga,ignoring,106.8367,142.3486,7,124.097,1530.3228
15,900,nearest_neighbor,aware,134.5553,87.0758,7,139.7011,1005.3131
15,900,nearest_neighbor,ignoring,106.8367,142.3486,7,124.097,1530.3228
15,901,qpso,aware,108.3502,0.0,0,65.886,108.3502
15,901,qpso,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,901,pso,aware,108.3502,0.0,0,65.886,108.3502
15,901,pso,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,901,ga,aware,108.3502,0.0,0,65.886,108.3502
15,901,ga,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,901,nearest_neighbor,aware,99.3625,35.2189,1,61.8911,451.552
15,901,nearest_neighbor,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,902,qpso,aware,116.4692,0.0,0,48.7557,116.4692
15,902,qpso,ignoring,99.2214,231.1063,7,98.1953,2410.2848
15,902,pso,aware,118.171,0.0,0,31.6693,118.171
15,902,pso,ignoring,100.665,88.1473,3,86.6296,982.1377
15,902,ga,aware,113.455,0.0,0,40.9926,113.455
15,902,ga,ignoring,107.5922,67.7137,6,85.5233,784.7291
15,902,nearest_neighbor,aware,99.763,48.9916,5,95.7448,589.679
15,902,nearest_neighbor,ignoring,99.763,48.9916,5,95.7448,589.679
15,903,qpso,aware,151.831,0.0,0,28.6861,151.831
15,903,qpso,ignoring,103.7074,31.0562,2,81.6891,414.2695
15,903,pso,aware,158.5514,0.0,0,31.6193,158.5514
15,903,pso,ignoring,100.6763,72.3376,3,96.0007,824.0522
15,903,ga,aware,146.4504,0.0,0,48.2301,146.4504
15,903,ga,ignoring,103.7074,75.77,4,105.49,861.4073
15,903,nearest_neighbor,aware,140.4408,111.8885,6,93.9327,1259.3253
15,903,nearest_neighbor,ignoring,110.6506,144.6261,5,101.0007,1556.9112
15,904,qpso,aware,134.5321,0.0,0,65.4292,134.5321
15,904,qpso,ignoring,106.1613,243.5192,7,133.5995,2541.3532
15,904,pso,aware,130.0504,0.0,0,79.5089,130.0504
15,904,pso,ignoring,113.4032,285.3397,5,93.1403,2966.8005
15,904,ga,aware,173.7651,0.0,0,22.8572,173.7651
15,904,ga,ignoring,107.8058,196.7572,6,121.9624,2075.3781
15,904,nearest_neighbor,aware,135.6567,129.7041,5,114.0221,1432.6981
15,904,nearest_neighbor,ignoring,113.8561,185.0257,4,78.0254,1964.1132
15,905,qpso,aware,160.1472,0.0,0,21.7116,160.1472
15,905,qpso,ignoring,116.6058,337.1637,8,53.5971,3488.2427
15,905,pso,aware,178.226,0.0,0,0.0,178.226
15,905,pso,ignoring,116.6058,328.2414,8,53.5971,3399.02
15,905,ga,aware,151.0768,0.0,0,31.8476,151.0768
15,905,ga,ignoring,118.0169,271.7089,8,67.5176,2835.1055
15,905,nearest_neighbor,aware,167.2513,87.072,4,48.1064,1037.9716
15,905,nearest_neighbor,ignoring,116.6058,328.2414,8,53.5971,3399.02
15,906,qpso,aware,189.736,0.0,0,27.5182,189.736
15,906,qpso,ignoring,128.1381,376.8168,8,89.3025,3896.3062
15,906,pso,aware,182.7155,0.0,0,12.1383,182.7155
15,906,pso,ignoring,129.8497,224.4983,4,52.3937,2374.8331
15,906,ga,aware,180.3934,0.0,0,9.6918,180.3934
15,906,ga,ignoring,129.8497,224.4983,4,52.3937,2374.8331
15,906,nearest_neighbor,aware,183.1434,44.2396,2,29.9199,625.5397
15,906,nearest_neighbor,ignoring,128.4946,368.9373,7,83.5271,3817.8674
15,907,qpso,aware,170.5573,0.0,0,60.6075,170.5573
15,907,qpso,ignoring,142.1412,40.3348,4,63.0434,545.4889
15,907,pso,aware,178.4271,0.0,0,42.1668,178.4271
15,907,pso,ignoring,142.6162,36.5443,3,63.9995,508.0596
15,907,ga,aware,181.6567,0.0,0,39.3383,181.6567
15,907,ga,ignoring,149.5236,39.4027,4,76.4475,543.551
15,907,nearest_neighbor,aware,198.9177,7.7845,2,59.5479,276.7626
15,907,nearest_neighbor,ignoring,151.1333,145.5502,5,75.7256,1606.6354
15,908,qpso,aware,142.3985,0.0,0,37.614,142.3985
15,908,qpso,ignoring,119.954,237.2365,7,63.7039,2492.319
15,908,pso,aware,142.3985,0.0,0,34.9699,142.3985
15,908,pso,ignoring,131.1728,202.6147,7,97.1016,2157.3203
15,908,ga,aware,144.5185,0.0,0,42.9383,144.5185
15,908,ga,ignoring,117.5269,193.1596,8,56.3279,2049.1232
