stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
15,900,qpso,aware,134.1293,0.0,0,66.6808,134.1293
15,900,qpso,ignoring,102.5816,98.7002,4,110.0958,1089.5833
15,900,pso,aware,126.3946,0.0,0,86.9907,126.3946
15,900,pso,ignoring,106.8367,71.1144,4,134.1664,817.9807
15,900,ga,aware,132.7308,0.0,0,68.278,132.7308
15,900,ga,ignoring,106.8367,142.3486,7,124.097,1530.3228
15,900,nearest_neighbor,aware,134.5553,87.0758,7,139.7011,1005.3131
15,900,nearest_neighbor,ignoring,106.8367,142.3486,7,124.097,1530.3228
15,901,qpso,aware,122.7541,0.0,0,52.1674,122.7541
15,901,qpso,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,901,pso,aware,139.8436,0.0,0,60.3663,139.8436
15,901,pso,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,901,ga,aware,113.5574,0.0,0,49.2798,113.5574
15,901,ga,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,901,nearest_neighbor,aware,99.3625,35.2189,1,61.8911,451.552
15,901,nearest_neighbor,ignoring,95.9277,117.0654,3,101.3273,1266.5816
15,902,qpso,aware,125.9272,0.0,0,26.7358,125.9272
15,902,qpso,ignoring,108.7751,269.1187,5,85.5233,2799.9616
15,902,pso,aware,146.8507,0.0,0,26.7086,146.8507
15,902,pso,ignoring,100.665,88.1473,3,86.6296,982.1377
15,902,ga,aware,147.3236,0.0,0,58.9607,147.3236
15,902,ga,ignoring,99.5046,225.141,7,98.1953,2350.9142
15,902,nearest_neighbor,aware,99.763,48.9916,5,95.7448,589.679
15,902,nearest_neighbor,ignoring,99.763,48.9916,5,95.7448,589.679
15,903,qpso,aware,154.2785,0.0,0,32.4295,154.2785
15,903,qpso,ignoring,101.1093,55.5947,3,93.6954,657.0563
15,903,pso,aware,147.5845,0.0,0,57.7762,147.5845
15,903,pso,ignoring,101.1093,55.5947,3,93.6954,657.0563
15,903,ga,aware,148.6123,0.0,0,54.0855,148.6123
15,903,ga,ignoring,101.1093,134.3381,4,98.6954,1444.4902
15,903,nearest_neighbor,aware,140.4408,111.8885,6,93.9327,1259.3253
15,903,nearest_neighbor,ignoring,110.6506,144.6261,5,101.0007,1556.9112
15,904,qpso,aware,137.9515,0.0,0,70.4381,137.9515
15,904,qpso,ignoring,113.4032,285.3397,5,93.1403,2966.8005
15,904,pso,aware,169.755,0.0,0,35.517,169.755
15,904,pso,ignoring,106.1613,254.2833,7,128.5995,2648.9947
15,904,ga,aware,134.5321,0.0,0,65.4292,134.5321
15,904,ga,ignoring,106.1613,254.2833,7,128.5995,2648.9947
15,904,nearest_neighbor,aware,135.6567,129.7041,5,114.0221,1432.6981
15,904,nearest_neighbor,ignoring,113.8561,185.0257,4,78.0254,1964.1132
15,905,qpso,aware,172.1634,0.0,0,22.9824,172.1634
15,905,qpso,ignoring,119.4858,206.9898,6,50.3304,2189.3837
15,905,pso,aware,193.7481,0.0,0,11.9899,193.7481
15,905,pso,ignoring,116.6058,328.2414,8,53.5971,3399.02
15,905,ga,aware,158.3375,0.0,0,31.3345,158.3375
15,905,ga,ignoring,123.3102,315.2414,9,82.042,3275.7239
15,905,nearest_neighbor,aware,167.2513,87.072,4,48.1064,1037.9716
15,905,nearest_neighbor,ignoring,116.6058,328.2414,8,53.5971,3399.02
15,906,qpso,aware,172.3396,0.0,0,50.7569,172.3396
15,906,qpso,ignoring,128.1381,376.8168,8,89.3025,3896.3062
15,906,pso,aware,192.1131,0.0,0,39.4791,192.1131
15,906,pso,ignoring,129.8497,224.4983,4,52.3937,2374.8331
15,906,ga,aware,140.2358,0.0,0,38.5116,140.2358
15,906,ga,ignoring,129.8497,224.4983,4,52.3937,2374.8331
15,906,nearest_neighbor,aware,183.1434,44.2396,2,29.9199,625.5397
15,906,nearest_neighbor,ignoring,128.4946,368.9373,7,83.5271,3817.8674
15,907,qpso,aware,166.2016,0.0,0,55.5892,166.2016
15,907,qpso,ignoring,142.434,13.8029,2,48.3095,280.4628
15,907,pso,aware,178.4271,0.0,0,42.1668,178.4271
15,907,pso,ignoring,142.6162,36.5443,3,63.9995,508.0596
15,907,ga,aware,177.8581,0.0,0,54.9263,177.8581
15,907,ga,ignoring,149.5236,39.4027,4,76.4475,543.551
15,907,nearest_neighbor,aware,198.9177,7.7845,2,59.5479,276.7626
15,907,nearest_neighbor,ignoring,151.1333,145.5502,5,75.7256,1606.6354
15,908,qpso,aware,153.1802,0.0,0,41.1296,153.1802
15,908,qpso,ignoring,105.3936,180.9568,6,67.7957,1914.9616
15,908,pso,aware,181.9082,0.0,0,0.0,181.9082
15,908,pso,ignoring,131.1728,202.6147,7,97.1016,2157.3203
15,908,ga,aware,151.7535,0.0,0,27.8842,151.7535
15,908,ga,ignoring,117.5269,193.1596,8,56.3279,2049.1232
15,908,nearest_neighbor,aware,138.0072,153.8614,4,77.3453,1676.6208
15,908,nearest_neighbor,ignoring,136.0759,227.6477,8,85.7275,2412.5528
15,909,qpso,aware,112.0671,0.0,0,44.6763,112.0671
15,909,qpso,ignoring,87.8145,98.1145,3,96.5454,1068.9595
15,909,pso,aware,135.8575,0.0,0,38.0868,135.8575
15,909,pso,ignoring,87.8145,98.1145,3,96.5454,1068.9595
15,909,ga,aware,111.7539,0.0,0,79.2308,111.7539
15,909,ga,ignoring,87.8145,98.1145,3,96.5454,1068.9595
15,909,nearest_neighbor,aware,133.9113,36.1746,3,47.1406,495.6571
15,909,nearest_neighbor,ignoring,88.4032,84.2946,2,85.7881,931.349
15,910,qpso,aware,134.7615,0.0,0,88.5239,134.7615
15,910,qpso,ignoring,99.2483,142.5255,4,140.2635,1524.5037
15,910,pso,aware,134.2905,0.0,0,110.5369,134.2905
15,910,pso,ignoring,110.2065,149.3071,4,132.4086,1603.2778
15,910,ga,aware,132.3445,0.0,0,93.6964,132.3445
15,910,ga,ignoring,110.2065,70.3258,3,122.5953,813.4644
15,910,nearest_neighbor,aware,133.0891,63.0482,2,124.2493,763.5715
15,910,nearest_neighbor,ignoring,100.4516,136.2575,4,140.2635,1463.0266
15,911,qpso,aware,125.6758,0.0,0,15.3636,125.6758
15,911,qpso,ignoring,103.7769,147.4735,4,61.7438,1578.5118
15,911,pso,aware,148.5286,0.0,0,35.4442,148.5286
15,911,pso,ignoring,95.0335,151.6024,6,67.0188,1611.0575
15,911,ga,aware,145.4463,3.275,2,25.3595,178.1961
15,911,ga,ignoring,104.5122,140.9201,3,56.2238,1513.7128
15,911,nearest_neighbor,aware,107.3642,139.9063,4,56.2238,1506.4269
15,911,nearest_neighbor,ignoring,104.5122,140.9201,3,56.2238,1513.7128
15,912,qpso,aware,123.2633,0.0,0,29.5481,123.2633
15,912,qpso,ignoring,85.9169,154.0602,8,63.1673,1626.519
15,912,pso,aware,125.9219,0.0,0,33.6985,125.9219
15,912,pso,ignoring,86.3881,111.2948,4,35.7663,1199.3361
15,912,ga,aware,119.3506,0.0,0,22.1957,119.3506
15,912,ga,ignoring,89.0127,42.4813,4,61.4971,513.8252
15,912,nearest_neighbor,aware,86.3881,111.2948,4,35.7663,1199.3361
15,912,nearest_neighbor,ignoring,86.3881,111.2948,4,35.7663,1199.3361
